Time,202-U-A2,202-U-B2,202-U-C2,202-U-D2,202-U-E2,202-U-F2,202-U-G2,301-U-A2,301-U-B2,301-U-C2,301-U-D2,301-U-E2,301-U-F2,301-U-G2,301-U-H2,302-U-A2,302-U-B2,302-U-C2,302-U-D2,302-U-E2,302-U-F2,302-U-G2,302-U-H2,304-U-A2,304-U-B2,304-U-C2,304-U-D2,304-U-E2,304-U-F2,304-U-G2,304-U-H2,305-U-A2,305-U-B2,305-U-C2,305-U-D2,305-U-E2,305-U-F2,305-U-G2,305-U-H2,307-U-A2,307-U-B2,307-U-C2,307-U-D2,307-U-E2,307-U-F2,307-U-G2,307-U-H2,207-U-A2,207-U-B2,207-U-C2,207-U-D2,207-U-E2,207-U-F2,207-U-G2,207-U-H2,208-U-A2,208-U-B2,208-U-C2,208-U-D2,208-U-E2,208-U-F2,208-U-G2,208-U-H2,209-U-A2,209-U-B2,209-U-C2,209-U-D2,209-U-E2,209-U-F2,209-U-G2,209-U-H2,214-U-A2,214-U-B2,214-U-C2,214-U-D2,214-U-E2,214-U-F2,214-U-G2
2007,-6.8,-7.3,-8.2,-7.8,-7.6,-7.1,-7.4,-5.8,-6.2,-7.0,-5.9,-5.5,-5.0,-4.5,-4.1,-5.7,-6.0,-6.8,-5.6,-5.6,-4.9,-4.3,-4.0,-5.2,-5.8,-5.8,-5.0,-5.1,-4.6,-4.6,-4.3,-5.2,-5.0,-5.4,-4.9,-4.7,-4.9,-4.6,-4.4,-5.2,-3.4,-5.3,-4.9,-5.9,-5.6,-5.6,-5.3,-2.0,-3.0,-5.0,-7.2,-9.5,-11.6,-12.3,-10.7,-1.0,-1.9,-5.1,-6.4,-9.0,-10.8,-10.5,-5.9,-0.9,-3.7,-5.7,-7.8,-10.7,-13.4,-13.3,-11.8,-4.7,-5.4,-8.7,-9.0,-8.9,-8.8,-7.9
2037,-6.7,-7.3,-8.2,-7.8,-7.6,-7.1,-7.2,-5.5,-6.3,-7.0,-6.0,-5.4,-5.0,-4.5,-4.2,-5.6,-5.9,-6.8,-5.5,-5.4,-4.9,-4.2,-4.1,-5.3,-5.4,-5.8,-5.0,-5.1,-4.6,-4.6,-4.2,-4.8,-5.1,-5.4,-4.9,-4.7,-4.9,-4.6,-4.4,-4.8,-4.0,-5.5,-5.3,-5.8,-5.7,-5.6,-5.3,-1.6,-3.1,-4.9,-6.9,-9.4,-11.7,-12.0,-10.6,0.0,-1.3,-4.2,-5.2,-8.4,-10.4,-10.5,-6.4,-2.6,-4.6,-5.9,-7.7,-10.4,-13.4,-13.1,-11.8,-4.7,-5.4,-8.4,-8.6,-8.7,-8.6,-8.1
2070,-6.7,-7.2,-8.3,-8.0,-7.8,-7.2,-7.4,-5.7,-6.4,-7.0,-5.9,-5.4,-5.0,-4.6,-4.2,-5.7,-5.9,-6.5,-5.6,-5.5,-4.9,-4.3,-4.2,-5.3,-5.5,-5.8,-5.0,-5.1,-4.6,-4.6,-4.2,-4.8,-5.1,-5.4,-4.8,-4.7,-4.9,-4.6,-4.4,-4.8,-3.3,-5.5,-4.9,-5.6,-5.7,-5.6,-5.3,-1.3,-2.5,-4.4,-6.9,-9.4,-11.8,-11.7,-10.4,0.8,-1.1,-3.8,-5.6,-8.0,-11.0,-11.1,-6.8,-2.3,-4.2,-5.4,-7.3,-10.2,-12.9,-12.9,-10.9,-4.7,-5.4,-8.8,-8.7,-8.6,-8.6,-7.9
2100,-6.5,-7.3,-8.0,-7.6,-7.6,-7.2,-7.4,-5.6,-6.3,-6.9,-5.9,-5.5,-5.0,-4.5,-4.2,-5.5,-5.9,-6.6,-5.5,-5.4,-4.9,-4.5,-4.3,-5.5,-5.2,-5.6,-5.0,-4.9,-4.6,-4.6,-4.2,-4.9,-5.1,-5.4,-4.8,-4.7,-4.9,-4.6,-4.4,-4.9,-3.5,-5.6,-5.2,-5.7,-5.7,-5.6,-5.0,-1.3,-3.5,-4.5,-7.3,-9.8,-11.9,-11.5,-10.1,-1.1,-2.6,-4.2,-5.2,-8.4,-10.5,-10.5,-7.1,-2.1,-4.8,-5.0,-7.1,-11.0,-13.8,-13.5,-11.5,-4.7,-5.4,-8.6,-8.5,-8.9,-8.2,-7.9
2130,-6.6,-7.2,-8.1,-7.7,-7.6,-7.1,-7.2,-5.6,-6.3,-7.0,-5.8,-5.4,-5.1,-4.6,-4.4,-5.5,-5.8,-6.5,-5.6,-5.4,-4.8,-4.4,-4.1,-5.2,-5.3,-5.8,-5.0,-4.9,-4.6,-4.6,-4.2,-4.8,-5.0,-5.3,-4.8,-4.7,-4.9,-4.6,-4.4,-4.8,-3.5,-5.5,-5.1,-5.6,-5.7,-5.6,-5.3,-1.3,-2.8,-4.4,-6.9,-8.9,-11.7,-12.1,-10.9,-0.5,-2.0,-4.5,-6.0,-8.5,-10.3,-10.2,-6.7,-1.7,-2.9,-5.5,-7.3,-11.6,-13.4,-13.9,-11.5,-4.7,-5.4,-8.6,-8.6,-9.0,-8.6,-8.4
2158,-6.6,-7.2,-8.1,-7.5,-7.5,-7.1,-7.2,-5.5,-6.2,-7.0,-5.9,-5.3,-4.8,-4.6,-4.2,-5.5,-5.8,-6.7,-5.5,-5.3,-5.0,-4.6,-4.1,-5.2,-5.3,-5.6,-5.0,-4.9,-4.6,-4.6,-4.3,-4.8,-5.0,-5.4,-4.8,-4.7,-4.9,-4.6,-4.4,-4.8,-3.8,-5.9,-4.9,-5.7,-5.7,-5.6,-5.3,-0.9,-2.9,-5.0,-7.1,-9.1,-11.8,-12.0,-10.4,-1.0,-3.4,-4.8,-5.6,-7.8,-10.3,-11.2,-7.0,-2.0,-3.7,-5.0,-7.7,-11.0,-13.5,-13.4,-11.7,-4.7,-5.4,-8.9,-8.9,-9.6,-9.3,-9.2
2188,-6.6,-7.2,-8.0,-7.6,-7.5,-7.0,-7.2,-5.3,-6.2,-7.0,-5.8,-5.2,-4.9,-4.7,-4.2,-5.2,-5.8,-6.5,-5.2,-5.3,-5.0,-4.4,-4.1,-5.4,-5.5,-5.9,-5.0,-4.9,-4.6,-4.6,-4.3,-4.9,-5.2,-5.5,-4.9,-4.7,-4.9,-4.6,-4.4,-4.9,-3.7,-5.9,-4.9,-5.7,-5.7,-5.6,-5.3,-1.2,-2.6,-4.9,-7.1,-9.3,-11.5,-12.0,-10.4,-1.1,-2.2,-5.2,-5.8,-8.5,-10.7,-10.8,-7.0,-2.1,-4.6,-5.9,-8.2,-11.3,-12.9,-12.8,-11.2,-4.7,-5.4,-8.9,-9.3,-9.6,-9.2,-8.5
2220,-6.6,-7.3,-8.0,-7.8,-7.7,-7.2,-7.4,-5.5,-6.5,-6.9,-6.0,-5.6,-5.3,-5.0,-4.5,-5.4,-6.0,-6.5,-5.6,-5.3,-5.3,-4.4,-4.2,-5.1,-5.3,-5.9,-5.0,-4.9,-4.6,-4.6,-4.3,-5.0,-5.0,-5.5,-4.9,-4.7,-4.9,-4.6,-4.4,-5.0,-3.7,-5.7,-5.3,-5.7,-5.7,-5.6,-5.3,-1.7,-3.0,-4.8,-7.0,-9.2,-11.4,-11.6,-10.4,-1.1,-3.0,-5.2,-5.7,-9.0,-10.3,-10.4,-7.1,-1.3,-3.0,-6.7,-7.9,-11.0,-13.1,-13.2,-12.3,-4.7,-5.4,-8.9,-9.4,-9.4,-8.7,-7.8
2250,-6.7,-7.2,-8.0,-7.6,-7.6,-7.1,-7.2,-5.4,-6.3,-7.0,-6.0,-5.5,-5.0,-4.7,-4.4,-5.5,-5.9,-6.7,-5.6,-5.5,-5.1,-4.6,-4.1,-5.4,-5.6,-5.6,-5.0,-4.9,-4.6,-4.6,-4.3,-5.2,-5.1,-5.5,-4.9,-4.7,-4.9,-4.6,-4.4,-5.2,-3.8,-5.9,-4.8,-5.7,-5.7,-5.6,-5.3,-1.7,-3.4,-4.9,-6.9,-9.7,-11.4,-12.4,-10.8,-0.5,-1.8,-4.5,-5.5,-8.2,-10.7,-10.9,-7.1,-1.7,-3.9,-5.8,-7.4,-10.8,-13.9,-12.9,-11.0,-4.7,-5.4,-8.7,-8.8,-8.8,-8.7,-8.1
2280,-6.3,-6.9,-8.0,-7.5,-7.5,-6.9,-7.0,-5.4,-6.2,-6.9,-5.8,-5.5,-5.1,-4.6,-4.3,-5.3,-5.9,-6.5,-5.5,-5.4,-4.8,-4.4,-4.0,-5.0,-5.1,-5.8,-5.0,-4.9,-4.6,-4.6,-4.3,-4.5,-5.0,-5.4,-4.8,-4.7,-4.9,-4.6,-4.4,-4.5,-3.8,-5.5,-5.2,-5.5,-5.5,-5.6,-5.2,-1.8,-3.0,-4.7,-6.9,-8.3,-10.7,-11.5,-9.8,-0.6,-2.0,-4.7,-6.0,-8.5,-10.1,-10.2,-6.5,-1.9,-3.8,-5.8,-7.2,-10.6,-12.8,-12.7,-11.0,-4.7,-5.4,-8.6,-8.8,-8.8,-8.2,-7.9
2310,-5.7,-6.1,-6.9,-6.2,-6.4,-5.9,-5.9,-4.6,-5.3,-5.6,-4.7,-4.4,-4.1,-3.8,-3.8,-4.8,-5.1,-5.7,-4.7,-4.6,-4.1,-3.6,-3.4,-4.1,-4.6,-5.1,-4.5,-4.8,-4.4,-4.2,-4.0,-4.1,-4.4,-4.9,-4.4,-4.5,-4.6,-4.4,-4.3,-4.1,-2.9,-4.7,-4.9,-5.6,-5.4,-5.3,-4.9,-2.3,-2.6,-4.5,-6.3,-7.5,-8.1,-7.4,-6.1,-2.4,-2.7,-4.9,-4.9,-6.2,-7.2,-6.8,-5.6,-3.2,-3.7,-5.4,-6.6,-7.4,-6.7,-6.5,-5.4,-4.7,-5.4,-7.2,-7.5,-7.3,-7.0,-6.5
2340,-4.8,-5.2,-5.8,-5.4,-5.4,-5.0,-5.1,-4.2,-4.8,-5.2,-4.3,-4.0,-3.6,-3.3,-3.0,-4.3,-4.6,-5.3,-4.3,-4.0,-3.5,-3.0,-2.8,-3.9,-4.0,-4.8,-4.3,-4.3,-4.3,-4.0,-3.6,-3.6,-4.1,-4.6,-4.2,-4.3,-4.5,-4.4,-4.1,-3.6,-2.7,-4.6,-4.8,-5.2,-5.2,-5.0,-4.7,-2.3,-2.6,-4.5,-6.1,-6.8,-6.9,-5.8,-4.6,-2.1,-3.0,-5.2,-4.6,-5.6,-5.5,-5.4,-5.2,-3.8,-4.3,-6.1,-6.7,-6.1,-5.1,-4.1,-2.8,-4.5,-5.5,-6.3,-6.6,-6.5,-6.2,-5.7
2368,-4.7,-5.3,-5.7,-5.4,-5.4,-4.9,-5.1,-4.3,-4.8,-5.1,-4.3,-3.9,-3.5,-3.1,-2.8,-4.3,-4.7,-5.0,-4.3,-4.0,-3.4,-2.8,-2.8,-3.8,-4.2,-4.9,-4.1,-4.3,-4.3,-3.9,-3.5,-3.7,-4.2,-4.5,-4.2,-4.2,-4.5,-4.3,-4.0,-3.7,-2.8,-4.7,-4.7,-5.4,-5.4,-4.9,-4.5,-2.1,-2.4,-4.5,-5.9,-7.3,-5.8,-5.0,-4.1,-2.3,-3.6,-4.2,-4.0,-5.2,-5.9,-5.9,-4.9,-3.6,-5.1,-6.1,-6.7,-6.6,-5.1,-3.4,-2.6,-4.2,-5.3,-6.0,-6.6,-6.4,-6.2,-5.8
2397,-3.8,-4.2,-4.6,-4.3,-4.2,-3.9,-3.9,-3.5,-4.0,-4.2,-3.4,-3.2,-2.8,-2.6,-2.3,-3.5,-4.1,-4.3,-3.6,-3.0,-2.6,-2.0,-2.0,-3.2,-3.0,-3.8,-3.6,-3.5,-3.4,-3.2,-2.6,-2.8,-3.1,-3.8,-3.3,-3.5,-3.6,-3.6,-3.4,-2.8,-2.0,-3.9,-3.9,-4.5,-4.5,-4.1,-3.7,-1.5,-2.2,-3.3,-4.4,-4.9,-4.9,-4.0,-3.4,-0.6,-1.7,-4.1,-4.3,-4.5,-5.2,-4.9,-4.7,-2.5,-2.9,-4.5,-4.6,-4.3,-3.6,-2.8,-2.4,-3.2,-4.0,-4.4,-4.8,-4.6,-4.8,-4.3
