Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-G2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-G2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-G2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-G2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-G2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-G2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-G2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-G2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-G2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-G2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-G2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-G2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-G2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
1471,31,37,47,58,64,64,57,28,35,44,69,75,85,90,91,28,37,47,68,91,98,102,103,28,32,46,76,95,105,113,117,34,34,65,102,123,136,153,156,11,28,40,46,55,64,135,153,11,11,12,12,15,26,61,132,9,9,9,9,11,16,40,89,9,8,8,9,10,10,18,39,9,9,9,9,9,9,10,11,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,7,7,6,6,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1501,31,37,47,58,64,63,57,28,35,44,71,75,85,90,91,30,37,47,68,89,97,101,103,28,33,44,75,96,107,113,117,34,34,64,100,123,136,153,156,11,28,40,46,55,64,133,153,11,11,12,12,15,26,61,130,9,9,9,9,11,16,38,82,9,8,8,9,10,10,18,42,9,9,9,9,9,9,10,11,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,7,7,6,6,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1531,31,37,47,58,64,63,57,28,35,44,69,75,85,90,91,30,37,47,68,89,97,102,101,28,33,46,75,94,103,110,113,34,34,64,104,123,132,150,154,11,28,40,46,55,62,133,153,11,11,12,12,15,26,60,127,9,9,9,9,11,16,38,82,9,8,8,9,10,10,18,40,9,9,9,9,9,9,10,11,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,7,7,6,6,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1561,31,37,47,59,67,66,57,28,36,44,69,75,85,90,91,30,37,46,68,86,94,99,99,28,32,43,71,91,100,107,109,34,34,69,98,106,114,137,144,11,28,40,46,53,59,124,149,11,11,12,12,13,24,54,94,9,9,9,9,11,14,30,58,9,8,8,9,10,10,16,29,9,9,9,9,9,9,10,11,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,7,7,6,6,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1591,33,37,48,61,68,68,59,29,36,44,68,73,83,87,87,30,35,44,64,80,87,91,93,28,32,41,67,83,90,94,98,33,34,68,91,91,93,117,131,11,28,38,46,49,53,103,133,10,11,12,12,12,23,42,47,9,9,9,9,11,12,19,28,9,8,8,8,9,10,14,15,9,7,9,9,9,9,10,11,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,7,7,6,6,6,7,7,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1621,33,37,47,59,67,68,59,31,36,44,64,68,77,80,80,28,35,42,62,73,77,81,83,27,30,39,59,73,81,82,85,34,31,67,87,88,84,100,111,11,28,38,46,49,47,83,112,10,11,12,11,12,21,33,23,9,9,8,9,9,10,12,14,9,8,8,8,9,9,14,9,9,7,9,9,8,9,10,9,8,8,8,8,9,9,9,10,8,8,8,8,7,7,6,8,6,7,6,6,6,7,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1651,33,37,47,56,63,64,58,31,36,41,58,62,71,73,74,28,33,43,58,68,73,74,76,27,29,36,51,68,75,80,83,34,33,68,93,91,78,92,94,11,28,38,46,49,44,70,92,10,11,12,11,12,19,29,14,9,9,8,9,9,10,12,10,9,8,8,8,9,9,14,9,9,7,9,9,8,9,10,9,8,8,8,8,9,9,9,9,8,8,8,8,7,7,6,7,6,7,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1681,31,36,44,52,58,59,54,29,34,39,56,62,68,69,70,28,33,41,55,68,72,75,77,27,29,39,57,75,84,92,94,34,33,62,96,106,107,121,122,11,28,41,48,51,47,72,89,10,11,12,11,12,19,31,26,9,9,8,9,9,10,12,10,9,8,8,8,9,9,14,9,9,7,9,9,8,8,10,9,8,8,8,8,9,9,9,9,8,8,8,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1711,29,36,42,49,53,54,51,29,33,39,54,60,69,73,75,27,33,41,58,76,84,89,92,26,32,47,71,90,101,113,118,34,34,58,99,133,137,158,161,11,29,43,50,54,66,103,109,10,11,12,11,12,30,71,99,9,9,8,9,9,10,37,55,9,8,8,8,9,9,14,9,9,7,9,9,8,8,10,9,8,8,8,8,9,9,9,9,8,8,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1741,29,34,41,47,51,51,48,28,32,37,57,64,74,82,85,27,33,41,61,87,97,103,107,27,36,59,84,102,116,131,137,37,36,57,101,132,152,174,178,11,32,45,53,60,102,134,130,11,11,12,12,18,59,113,148,9,9,8,9,11,21,89,108,9,8,8,8,10,23,37,58,9,7,9,9,8,8,10,9,8,8,8,8,9,9,9,9,8,8,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1771,28,32,39,46,51,49,48,26,32,39,62,69,82,92,96,27,33,44,67,96,109,119,123,30,41,67,93,114,133,152,159,39,38,59,98,131,156,186,198,11,32,46,54,65,132,159,146,11,11,12,12,20,73,135,173,9,9,8,9,14,28,121,133,9,8,8,8,12,42,59,98,9,7,9,9,8,15,26,43,8,8,8,8,7,8,9,9,6,8,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1801,28,32,39,48,54,52,50,28,33,42,66,72,88,101,107,28,35,47,67,90,108,117,121,29,35,51,76,94,110,122,127,36,39,56,93,117,137,157,160,11,30,42,49,61,119,162,153,11,11,12,12,18,48,108,163,9,9,8,9,14,26,99,123,9,8,8,8,12,36,60,96,9,7,9,9,9,22,46,68,8,8,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1831,28,34,41,50,58,57,53,29,35,44,69,74,88,95,99,27,33,44,67,90,97,103,106,26,30,41,67,86,94,104,111,33,37,56,83,106,127,146,148,11,27,38,44,55,97,153,151,11,11,12,12,17,37,78,139,9,9,8,9,13,26,63,102,9,8,8,8,12,24,46,79,9,7,9,9,9,16,41,58,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1861,28,34,41,52,60,62,57,28,35,42,67,72,84,89,91,25,32,41,63,81,89,93,96,23,27,37,62,73,81,84,89,29,31,45,62,76,98,114,116,11,24,32,38,48,77,134,144,10,11,10,11,16,32,62,110,9,9,8,9,13,23,47,83,9,8,8,8,12,21,33,66,9,7,7,9,9,16,29,45,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1891,28,34,39,47,56,60,57,25,32,38,61,67,79,83,85,21,27,34,50,64,74,79,81,18,21,28,42,49,58,63,66,25,25,32,33,37,62,77,84,11,19,25,32,39,60,108,128,10,9,10,11,14,28,51,66,9,9,8,9,12,19,33,50,9,8,8,8,10,18,24,48,9,7,7,7,9,12,23,32,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1921,27,32,36,41,47,54,55,20,26,29,44,52,66,71,73,16,21,23,34,42,52,59,63,13,15,18,23,28,36,45,51,22,21,21,19,19,37,49,56,11,15,19,24,31,45,81,102,10,9,9,9,12,23,41,37,9,8,8,9,11,17,24,31,9,8,8,8,10,14,21,30,9,7,7,7,9,9,19,21,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1951,23,27,30,31,35,44,47,16,18,21,27,35,49,58,59,13,16,17,22,26,34,44,49,13,12,14,16,19,24,33,38,21,18,17,15,14,26,34,35,11,13,15,19,25,35,61,78,10,9,9,9,11,21,37,28,9,8,8,9,11,15,19,24,9,8,8,8,10,12,18,21,9,7,7,7,9,9,15,14,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
1981,18,22,24,22,23,32,33,16,16,17,20,26,38,46,46,12,14,14,17,20,26,33,38,13,12,14,13,16,18,23,26,19,17,17,13,14,21,26,23,9,12,13,17,21,27,46,59,10,9,9,9,11,19,31,21,9,8,8,9,9,12,14,18,9,8,8,8,9,9,15,15,9,7,7,7,8,9,12,11,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2011,14,19,20,18,18,24,26,13,14,14,17,21,29,37,37,12,14,13,14,17,20,24,27,13,12,14,13,13,15,17,20,19,17,17,13,12,19,22,18,9,12,12,14,19,21,36,45,10,9,9,9,9,17,27,15,9,8,8,8,9,10,11,13,9,8,8,8,9,9,15,11,9,7,7,7,8,9,12,11,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2041,14,17,18,16,17,21,22,13,14,13,14,17,22,27,26,12,12,13,13,16,16,18,19,13,12,12,12,12,13,15,16,18,16,14,12,12,18,19,14,9,12,12,13,17,17,27,35,10,9,9,9,9,15,24,12,9,8,8,8,9,10,9,10,9,8,8,8,9,9,15,11,9,7,7,7,8,9,11,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2071,13,17,16,14,16,18,18,12,13,13,14,15,18,20,18,11,12,11,13,14,16,16,17,11,12,12,12,12,13,14,16,18,16,13,12,11,16,17,13,9,10,12,13,17,15,23,28,10,9,9,9,9,15,22,12,9,8,8,8,9,10,9,10,9,8,8,8,9,9,15,11,9,7,7,7,8,8,11,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2101,13,16,16,14,14,17,16,12,13,13,12,15,16,17,16,11,11,11,12,14,14,15,16,11,11,12,12,12,12,14,14,16,16,13,12,11,16,15,13,9,10,10,12,15,14,19,23,10,9,9,9,9,14,20,12,9,8,8,8,9,8,9,10,9,8,8,8,9,8,13,11,9,7,7,7,8,8,11,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2131,13,14,15,13,13,16,14,12,13,12,12,13,14,16,14,11,11,11,12,13,14,13,14,11,11,11,10,12,12,12,14,16,14,13,12,11,14,15,13,9,10,10,12,13,12,18,19,8,9,9,8,9,14,19,12,9,8,8,8,8,8,9,10,9,8,8,8,9,8,13,11,9,7,7,7,8,8,9,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2161,12,14,15,13,13,14,13,12,13,12,12,13,14,16,14,11,11,11,12,13,12,13,14,11,11,11,10,12,12,12,14,16,14,13,10,11,14,14,13,9,10,10,12,13,12,16,17,8,8,9,8,9,12,19,11,8,8,8,8,8,8,9,10,9,8,8,8,9,8,13,11,9,7,7,7,8,8,9,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2191,12,13,13,13,13,14,13,12,11,12,12,13,13,14,13,11,11,11,12,13,12,13,14,11,11,11,10,11,12,12,12,15,14,11,10,11,13,14,12,9,10,10,11,13,12,14,16,8,8,9,8,8,12,17,11,8,8,8,8,8,8,9,9,9,8,8,8,9,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2221,12,13,13,11,13,13,13,10,11,12,11,13,13,14,13,11,11,10,12,13,12,12,13,11,11,11,10,11,12,12,12,15,14,11,10,11,13,14,12,9,10,9,11,12,11,13,14,8,8,9,8,8,12,17,11,8,8,8,8,8,8,9,9,9,8,8,8,9,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2251,12,12,13,11,11,13,12,10,11,12,11,12,12,14,13,11,11,10,10,11,12,12,13,11,11,11,10,11,11,12,12,15,12,11,10,11,13,12,12,9,9,9,11,12,11,13,14,8,8,9,8,8,12,16,11,8,8,8,8,8,8,9,9,9,8,8,8,9,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,9,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2281,12,12,12,11,11,13,12,10,11,10,11,12,12,13,13,11,11,10,10,11,12,12,13,11,11,11,10,11,11,12,12,15,12,11,10,11,13,12,12,9,9,9,11,12,11,13,13,8,8,9,8,8,11,16,11,8,8,8,8,8,8,9,9,9,8,8,8,9,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,8,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2311,11,12,12,11,11,13,12,10,11,10,11,12,12,13,13,9,11,10,10,11,12,12,13,11,11,11,10,11,11,12,12,15,12,11,10,11,12,12,12,9,9,9,11,12,11,12,13,8,8,9,8,8,11,16,11,8,8,8,8,8,8,9,9,9,8,8,8,9,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,8,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2341,11,12,12,11,11,13,12,10,11,10,11,12,12,13,13,9,9,10,10,11,12,12,13,11,11,11,10,11,11,12,12,13,12,11,10,11,12,12,12,9,9,9,11,12,11,12,13,8,8,9,8,8,11,14,11,8,8,8,8,8,8,9,9,9,8,8,8,9,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,8,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2371,11,12,12,11,11,11,12,10,11,10,11,12,12,13,13,9,9,10,10,11,11,12,13,11,11,11,10,11,11,12,12,13,12,11,10,9,12,12,12,9,9,9,11,12,11,12,12,8,8,9,8,8,11,14,11,8,8,8,8,8,8,9,9,9,8,8,8,7,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,8,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
2253,11,12,12,11,11,11,12,10,11,10,11,12,12,13,13,9,9,10,10,11,11,12,13,9,11,11,10,11,11,11,12,13,12,11,10,9,12,12,12,9,9,9,11,12,11,12,12,8,8,9,8,8,11,14,11,8,8,8,8,8,8,9,9,9,8,8,8,7,8,13,8,7,7,7,7,8,8,9,9,7,7,7,8,7,8,8,9,6,7,7,8,7,7,6,7,6,6,6,6,6,6,6,7,6,5,4,5,6,6,5,5,3,3,3,2,8,3,3
