Time,I-1 O2 0.2m,I-2 O2 0.2m,I-3 O2 0.2m,I-4 O2 0.2m,I-5 O2 0.2m,I-6 O2 0.2m,I-1 O2 5m,I-2 O2 5m,I-3 O2 5m,I-4 O2 5m,I-5 O2 5m,I-6 O2 5m,I-1 CO 0.2m,I-2 CO 0.2m,I-3 CO 0.2m,I-4 CO 0.2m,I-5 CO 0.2m,I-6 CO 0.2m,I-1 CO 5m,I-2 CO 5m,I-3 CO 5m,I-4 CO 5m,I-5 CO 5m,I-6 CO 5m,I-1 CO2 0.2m,I-2 CO2 0.2m,I-3 CO2 0.2m,I-4 CO2 0.2m,I-5 CO2 0.2m,I-6 CO2 0.2m,I-1 CO2 5m,I-2 CO2 5m,I-3 CO2 5m,I-4 CO2 5m,I-5 CO2 5m,I-6 CO2 5m
156,0.1921,0.1692,0.1714,0.1820,0.1717,0.1535,0.1892,0.1627,0.1557,0.1801,0.1752,0.1465,0.000328,0.000725,0.000465,0.000456,0.000618,0.002258,0.000371,0.000848,0.000593,0.000493,0.000580,0.002844,0.0101,0.0307,0.0290,0.0211,0.0217,0.0320,0.0157,0.0268,0.0308,0.0169,0.0262,0.0478
159,0.1921,0.1679,0.1705,0.1815,0.1718,0.1516,0.1895,0.1618,0.1559,0.1789,0.1731,0.1449,0.000335,0.000751,0.000475,0.000468,0.000649,0.002378,0.000376,0.000870,0.000623,0.000499,0.000611,0.002893,0.0102,0.0317,0.0297,0.0214,0.0217,0.0331,0.0154,0.0273,0.0307,0.0176,0.0278,0.0490
162,0.1913,0.1666,0.1699,0.1808,0.1713,0.1552,0.1894,0.1619,0.1563,0.1781,0.1713,0.1439,0.000337,0.000773,0.000482,0.000477,0.000676,0.002489,0.000379,0.000885,0.000655,0.000512,0.000642,0.002961,0.0106,0.0327,0.0302,0.0219,0.0219,0.0311,0.0155,0.0273,0.0304,0.0181,0.0292,0.0497
165,0.1905,0.1652,0.1688,0.1803,0.1706,0.1565,0.1893,0.1613,0.1537,0.1775,0.1705,0.1417,0.000346,0.000805,0.000490,0.000487,0.000701,0.002517,0.000382,0.000901,0.000676,0.000523,0.000674,0.003042,0.0111,0.0337,0.0310,0.0223,0.0223,0.0303,0.0156,0.0276,0.0319,0.0184,0.0297,0.0514
168,0.1900,0.1644,0.1675,0.1797,0.1681,0.1562,0.1886,0.1594,0.1523,0.1750,0.1690,0.1403,0.000354,0.000827,0.000505,0.000496,0.000728,0.002514,0.000385,0.000915,0.000694,0.000541,0.000716,0.003108,0.0113,0.0343,0.0320,0.0228,0.0237,0.0305,0.0161,0.0287,0.0327,0.0198,0.0309,0.0524
171,0.1898,0.1641,0.1663,0.1791,0.1657,0.1527,0.1880,0.1580,0.1553,0.1748,0.1660,0.1389,0.000366,0.000847,0.000517,0.000509,0.000771,0.002529,0.000392,0.000940,0.000713,0.000558,0.000755,0.003172,0.0114,0.0346,0.0329,0.0232,0.0251,0.0325,0.0165,0.0294,0.0310,0.0200,0.0331,0.0535
174,0.1892,0.1639,0.1652,0.1786,0.1645,0.1599,0.1882,0.1583,0.1584,0.1751,0.1649,0.1372,0.000372,0.000861,0.000530,0.000517,0.000824,0.002543,0.000403,0.000958,0.000722,0.000575,0.000810,0.003260,0.0118,0.0347,0.0337,0.0236,0.0258,0.0284,0.0164,0.0293,0.0292,0.0198,0.0339,0.0548
177,0.1872,0.1635,0.1637,0.1777,0.1642,0.1651,0.1880,0.1590,0.1609,0.1748,0.1645,0.1351,0.000391,0.000872,0.000542,0.000529,0.000862,0.002485,0.000406,0.000975,0.000717,0.000584,0.000856,0.003332,0.0129,0.0350,0.0348,0.0243,0.0260,0.0255,0.0165,0.0289,0.0278,0.0199,0.0342,0.0563
180,0.1870,0.1631,0.1624,0.1771,0.1624,0.1686,0.1873,0.1588,0.1595,0.1757,0.1639,0.1338,0.000408,0.000881,0.000561,0.000540,0.000894,0.002353,0.000411,0.000979,0.000703,0.000591,0.000884,0.003426,0.0131,0.0353,0.0358,0.0248,0.0270,0.0235,0.0171,0.0290,0.0286,0.0194,0.0347,0.0573
183,0.1880,0.1621,0.1600,0.1766,0.1605,0.1707,0.1869,0.1580,0.1561,0.1756,0.1628,0.1327,0.000428,0.000892,0.000581,0.000551,0.000933,0.002221,0.000417,0.000991,0.000702,0.000593,0.000910,0.003486,0.0125,0.0360,0.0376,0.0251,0.0281,0.0223,0.0174,0.0295,0.0305,0.0195,0.0355,0.0582
186,0.1873,0.1613,0.1592,0.1762,0.1591,0.1713,0.1869,0.1608,0.1549,0.1755,0.1621,0.1317,0.000433,0.000909,0.000620,0.000562,0.000968,0.002080,0.000423,0.000997,0.000713,0.000593,0.000943,0.003578,0.0129,0.0366,0.0382,0.0255,0.0289,0.0219,0.0174,0.0279,0.0312,0.0196,0.0360,0.0589
189,0.1864,0.1609,0.1590,0.1755,0.1589,0.1772,0.1855,0.1610,0.1529,0.1753,0.1613,0.1307,0.000445,0.000923,0.000644,0.000574,0.001015,0.001988,0.000431,0.000988,0.000727,0.000594,0.000965,0.003633,0.0134,0.0370,0.0384,0.0259,0.0289,0.0186,0.0184,0.0278,0.0324,0.0196,0.0366,0.0597
192,0.1869,0.1597,0.1605,0.1750,0.1570,0.1804,0.1843,0.1595,0.1537,0.1741,0.1600,0.1298,0.000452,0.000938,0.000660,0.000582,0.001047,0.001809,0.000457,0.000979,0.000749,0.000602,0.000995,0.003698,0.0131,0.0379,0.0373,0.0263,0.0300,0.0168,0.0193,0.0286,0.0319,0.0203,0.0376,0.0603
195,0.1869,0.1581,0.1613,0.1742,0.1565,0.1738,0.1838,0.1605,0.1573,0.1729,0.1590,0.1290,0.000457,0.000955,0.000666,0.000591,0.001083,0.001701,0.000472,0.000977,0.000757,0.000613,0.001020,0.003747,0.0131,0.0391,0.0366,0.0269,0.0303,0.0205,0.0197,0.0280,0.0299,0.0210,0.0384,0.0609
198,0.1867,0.1573,0.1612,0.1738,0.1584,0.1633,0.1843,0.1621,0.1561,0.1708,0.1580,0.1279,0.000458,0.000983,0.000669,0.000603,0.001105,0.001734,0.000483,0.000974,0.000759,0.000625,0.001053,0.003797,0.0132,0.0397,0.0367,0.0273,0.0292,0.0265,0.0193,0.0271,0.0305,0.0222,0.0391,0.0618
201,0.1858,0.1565,0.1604,0.1733,0.1578,0.1539,0.1844,0.1622,0.1509,0.1710,0.1573,0.1268,0.000465,0.001003,0.000675,0.000614,0.001126,0.001882,0.000491,0.000970,0.000766,0.000638,0.001079,0.003862,0.0137,0.0403,0.0373,0.0276,0.0296,0.0318,0.0193,0.0271,0.0335,0.0221,0.0397,0.0626
204,0.1861,0.1557,0.1595,0.1726,0.1580,0.1449,0.1838,0.1613,0.1488,0.1711,0.1565,0.1259,0.000471,0.001027,0.000692,0.000624,0.001139,0.002195,0.000498,0.000974,0.000794,0.000649,0.001111,0.003927,0.0135,0.0409,0.0380,0.0282,0.0295,0.0369,0.0197,0.0276,0.0347,0.0220,0.0403,0.0633
207,0.1861,0.1548,0.1590,0.1718,0.1598,0.1423,0.1829,0.1541,0.1495,0.1707,0.1557,0.1253,0.000477,0.001047,0.000704,0.000634,0.001144,0.002492,0.000508,0.001004,0.000819,0.000657,0.001133,0.003981,0.0135,0.0416,0.0383,0.0288,0.0284,0.0383,0.0204,0.0317,0.0343,0.0223,0.0409,0.0637
210,0.1851,0.1544,0.1568,0.1714,0.1591,0.1402,0.1818,0.1513,0.1502,0.1703,0.1545,0.1255,0.000481,0.001067,0.000720,0.000646,0.001141,0.002821,0.000531,0.001060,0.000845,0.000666,0.001154,0.004056,0.0141,0.0418,0.0400,0.0290,0.0288,0.0396,0.0212,0.0333,0.0339,0.0225,0.0418,0.0636
213,0.1841,0.1544,0.1552,0.1707,0.1595,0.1394,0.1818,0.1507,0.1468,0.1699,0.1545,0.1255,0.000495,0.001079,0.000742,0.000655,0.001138,0.002991,0.000541,0.001099,0.000857,0.000672,0.001162,0.004106,0.0147,0.0419,0.0412,0.0295,0.0286,0.0400,0.0212,0.0336,0.0358,0.0227,0.0418,0.0636
216,0.1834,0.1541,0.1542,0.1701,0.1612,0.1354,0.1818,0.1489,0.1443,0.1697,0.1532,0.1244,0.000506,0.001089,0.000776,0.000668,0.001132,0.003172,0.000549,0.001126,0.000887,0.000677,0.001201,0.004155,0.0151,0.0421,0.0420,0.0300,0.0277,0.0423,0.0212,0.0346,0.0372,0.0229,0.0428,0.0644
219,0.1832,0.1538,0.1537,0.1697,0.1588,0.1291,0.1816,0.1463,0.1503,0.1697,0.1519,0.1236,0.000523,0.001095,0.000793,0.000676,0.001125,0.003337,0.000555,0.001157,0.000909,0.000682,0.001241,0.004235,0.0152,0.0423,0.0424,0.0303,0.0290,0.0459,0.0214,0.0361,0.0338,0.0228,0.0437,0.0650
222,0.1838,0.1536,0.1530,0.1695,0.1551,0.1226,0.1812,0.1454,0.1526,0.1696,0.1509,0.1248,0.000531,0.001103,0.000808,0.000685,0.001135,0.003608,0.000561,0.001196,0.000907,0.000686,0.001272,0.004307,0.0149,0.0425,0.0429,0.0305,0.0311,0.0495,0.0217,0.0366,0.0325,0.0229,0.0445,0.0641
225,0.1829,0.1532,0.1523,0.1691,0.1533,0.1208,0.1813,0.1447,0.1467,0.1685,0.1490,NaN,0.000540,0.001110,0.000827,0.000694,0.001173,0.003804,0.000566,0.001231,0.000897,0.000692,0.001300,NaN,0.0154,0.0427,0.0434,0.0308,0.0321,0.0505,0.0216,0.0370,0.0359,0.0235,0.0459,NaN
228,0.1820,0.1525,0.1513,0.1684,0.1526,0.1186,0.1811,0.1439,0.1458,0.1685,0.1465,NaN,0.000549,0.001120,0.000841,0.000703,0.001209,0.004029,0.000571,0.001255,0.000904,0.000698,0.001346,NaN,0.0158,0.0432,0.0442,0.0313,0.0325,0.0518,0.0217,0.0374,0.0364,0.0235,0.0478,NaN
231,0.1820,0.1516,0.1508,0.1677,0.1524,0.1168,0.1808,0.1424,0.1472,0.1694,0.1459,NaN,0.000561,0.001132,0.000856,0.000711,0.001245,0.004192,0.000580,0.001277,0.000917,0.000702,0.001382,NaN,0.0158,0.0439,0.0446,0.0318,0.0326,0.0528,0.0220,0.0383,0.0356,0.0230,0.0483,NaN
234,0.1821,0.1500,0.1504,0.1670,0.1512,0.1172,0.1805,0.1418,0.1441,0.1691,0.1456,NaN,0.000568,0.001151,0.000868,0.000719,0.001268,0.004328,0.000584,0.001301,0.000936,0.000703,0.001415,NaN,0.0158,0.0452,0.0448,0.0324,0.0333,0.0526,0.0222,0.0387,0.0373,0.0232,0.0484,NaN
237,0.1819,0.1489,0.1498,0.1665,0.1485,NaN,0.1801,0.1421,0.1421,0.1683,0.1447,NaN,0.000576,0.001169,0.000884,0.000731,0.001308,NaN,0.000589,0.001319,0.000953,0.000706,0.001453,NaN,0.0159,0.0459,0.0453,0.0327,0.0348,NaN,0.0225,0.0385,0.0385,0.0236,0.0491,NaN
240,0.1815,0.1478,0.1487,0.1658,0.1468,NaN,0.1797,0.1432,0.1428,0.1675,0.1434,NaN,0.000581,0.001189,0.000896,0.000741,0.001348,NaN,0.000597,0.001325,0.000979,0.000710,0.001488,NaN,0.0161,0.0468,0.0462,0.0333,0.0358,NaN,0.0228,0.0378,0.0381,0.0241,0.0501,NaN
243,0.1819,0.1467,0.1491,0.1651,0.1450,NaN,0.1798,0.1435,0.1446,0.1667,0.1426,NaN,0.000587,0.001217,0.000912,0.000752,0.001396,NaN,0.000603,0.001324,0.000991,0.000717,0.001513,NaN,0.0159,0.0476,0.0458,0.0338,0.0368,NaN,0.0227,0.0377,0.0370,0.0245,0.0507,NaN
246,0.1820,0.1458,0.1489,0.1644,0.1433,NaN,0.1803,0.1415,0.1458,0.1654,0.1419,NaN,0.000588,0.001241,0.000917,0.000765,0.001433,NaN,0.000607,0.001325,0.000995,0.000728,0.001538,NaN,0.0159,0.0483,0.0459,0.0343,0.0378,NaN,0.0223,0.0388,0.0364,0.0252,0.0512,NaN
249,0.1818,0.1452,0.1480,0.1642,0.1444,NaN,0.1796,0.1389,0.1459,0.1644,0.1417,NaN,0.000590,0.001261,0.000922,0.000775,0.001483,NaN,0.000611,0.001344,0.000995,0.000741,0.001565,NaN,0.0160,0.0488,0.0466,0.0345,0.0372,NaN,0.0229,0.0403,0.0363,0.0258,0.0514,NaN
252,0.1816,0.1445,0.1459,0.1639,0.1459,NaN,0.1788,0.1377,0.1464,0.1633,0.1409,NaN,0.000591,0.001276,0.000931,0.000783,0.001507,NaN,0.000615,0.001370,0.000992,0.000754,0.001583,NaN,0.0161,0.0493,0.0482,0.0347,0.0363,NaN,0.0234,0.0410,0.0361,0.0265,0.0520,NaN
255,0.1812,0.1441,0.1449,0.1634,0.1426,NaN,0.1785,0.1370,0.1482,0.1620,0.1402,NaN,0.000593,0.001293,0.000953,0.000793,0.001525,NaN,0.000622,0.001396,0.000987,0.000771,0.001608,NaN,0.0163,0.0496,0.0490,0.0351,0.0382,NaN,0.0237,0.0414,0.0350,0.0272,0.0525,NaN
258,0.1807,0.1431,0.1451,0.1627,0.1399,NaN,0.1784,0.1365,0.1512,0.1608,0.1402,NaN,0.000598,0.001306,0.000967,0.000801,0.001548,NaN,0.000628,0.001422,0.000968,0.000785,0.001624,NaN,0.0166,0.0503,0.0488,0.0356,0.0397,NaN,0.0238,0.0417,0.0333,0.0279,0.0525,NaN
261,0.1803,0.1422,0.1456,0.1622,0.1379,NaN,0.1786,0.1349,0.1509,0.1616,0.1397,NaN,0.000608,0.001328,0.000975,0.000810,0.001594,NaN,0.000635,0.001445,0.000954,0.000805,0.001640,NaN,0.0168,0.0510,0.0485,0.0360,0.0409,NaN,0.0237,0.0426,0.0335,0.0274,0.0529,NaN
264,0.1793,0.1413,0.1444,0.1623,0.1399,NaN,0.1785,0.1347,0.1507,0.1619,0.1383,NaN,0.000616,0.001345,0.000985,0.000815,0.001627,NaN,0.000641,0.001464,0.000938,0.000813,0.001654,NaN,0.0174,0.0517,0.0493,0.0359,0.0397,NaN,0.0237,0.0427,0.0336,0.0272,0.0540,NaN
267,0.1800,0.1407,0.1444,0.1623,0.1417,NaN,0.1777,0.1355,0.1533,0.1624,0.1377,NaN,0.000628,0.001364,0.000993,0.000822,0.001637,NaN,0.000652,0.001478,0.000930,0.000817,0.001677,NaN,0.0170,0.0522,0.0493,0.0359,0.0387,NaN,0.0243,0.0422,0.0321,0.0270,0.0544,NaN
270,0.1805,0.1404,0.1459,0.1620,0.1434,NaN,0.1765,0.1361,0.1654,0.1636,0.1369,NaN,0.000631,0.001381,0.000996,0.000826,0.001635,NaN,0.000661,0.001484,0.000886,0.000816,0.001696,NaN,0.0167,0.0524,0.0482,0.0361,0.0377,NaN,0.0252,0.0419,0.0253,0.0263,0.0550,NaN
273,0.1786,0.1398,0.1485,0.1612,0.1452,NaN,0.1751,0.1364,0.1742,0.1621,0.1355,NaN,0.000637,0.001395,0.000986,0.000832,0.001614,NaN,0.000674,0.001484,0.000830,0.000814,0.001715,NaN,0.0178,0.0528,0.0463,0.0367,0.0367,NaN,0.0262,0.0417,0.0203,0.0272,0.0561,NaN
276,0.1788,0.1389,0.1482,0.1605,0.1462,NaN,0.1746,0.1357,0.1752,0.1616,0.1343,NaN,0.000646,0.001406,0.000976,0.000839,0.001590,NaN,0.000688,0.001484,0.000733,0.000816,0.001741,NaN,0.0177,0.0535,0.0465,0.0372,0.0362,NaN,0.0267,0.0421,0.0197,0.0274,0.0570,NaN
279,0.1789,0.1379,0.1464,0.1599,0.1431,NaN,0.1744,0.1341,0.1763,0.1639,0.1334,NaN,0.000655,0.001422,0.000969,0.000847,0.001570,NaN,0.000702,0.001488,0.000680,0.000817,0.001769,NaN,0.0176,0.0543,0.0479,0.0377,0.0379,NaN,0.0268,0.0430,0.0191,0.0261,0.0576,NaN
282,0.1777,0.1370,0.1462,0.1596,0.1373,NaN,0.1743,0.1343,0.1780,0.1670,0.1328,NaN,0.000661,0.001435,0.000970,0.000855,0.001575,NaN,0.000715,0.001497,0.000614,0.000808,0.001790,NaN,0.0183,0.0549,0.0480,0.0379,0.0412,NaN,0.0269,0.0429,0.0181,0.0244,0.0581,NaN
285,0.1768,0.1358,0.1457,0.1590,0.1331,NaN,0.1753,0.1372,0.1742,0.1683,0.1310,NaN,0.000677,0.001454,0.000974,0.000866,0.001620,NaN,0.000724,0.001498,0.000583,0.000785,0.001823,NaN,0.0188,0.0559,0.0483,0.0384,0.0436,NaN,0.0261,0.0413,0.0203,0.0236,0.0594,NaN
288,0.1766,0.1349,0.1454,0.1585,0.1311,NaN,0.1749,0.1367,0.1714,0.1694,0.1296,NaN,0.000687,0.001473,0.000982,0.000873,0.001671,NaN,0.000732,0.001485,0.000569,0.000764,0.001857,NaN,0.0189,0.0565,0.0486,0.0388,0.0447,NaN,0.0264,0.0415,0.0219,0.0230,0.0605,NaN
291,0.1765,0.1344,0.1443,0.1580,0.1372,NaN,0.1737,0.1338,0.1692,0.1715,0.1284,NaN,0.000698,0.001491,0.000992,0.000880,0.001711,NaN,0.000737,0.001477,0.000578,0.000740,0.001896,NaN,0.0190,0.0569,0.0494,0.0391,0.0413,NaN,0.0273,0.0432,0.0231,0.0218,0.0614,NaN
294,0.1760,0.1341,0.1433,0.1580,0.1415,NaN,0.1729,0.1318,0.1626,0.1745,0.1280,NaN,0.000705,0.001503,0.001010,0.000887,0.001712,NaN,0.000747,0.001485,0.000612,0.000717,0.001951,NaN,0.0192,0.0571,0.0502,0.0391,0.0388,NaN,0.0279,0.0443,0.0269,0.0201,0.0617,NaN
297,0.1749,0.1335,0.1423,0.1579,0.1425,NaN,0.1728,0.1302,0.1508,0.1738,0.1277,NaN,0.000719,0.001512,0.001023,0.000892,0.001682,NaN,0.000758,0.001499,0.000653,0.000682,0.002003,NaN,0.0199,0.0576,0.0509,0.0392,0.0383,NaN,0.0280,0.0452,0.0335,0.0205,0.0619,NaN
300,0.1741,0.1329,0.1411,0.1574,0.1403,NaN,0.1726,0.1301,0.1430,0.1715,0.1270,NaN,0.000730,0.001522,0.001040,0.000897,0.001659,NaN,0.000766,0.001521,0.000752,0.000662,0.002042,NaN,0.0203,0.0580,0.0519,0.0396,0.0395,NaN,0.0281,0.0453,0.0380,0.0218,0.0624,NaN
303,0.1739,0.1324,0.1409,0.1568,0.1354,NaN,0.1725,0.1307,0.1390,0.1691,0.1260,NaN,0.000747,0.001531,0.001050,0.000902,0.001668,NaN,0.000773,0.001533,0.000835,0.000657,0.002086,NaN,0.0204,0.0584,0.0520,0.0401,0.0422,NaN,0.0282,0.0449,0.0402,0.0232,0.0632,NaN
306,0.1745,0.1319,0.1406,0.1565,0.1335,NaN,0.1730,0.1306,0.1399,0.1673,0.1258,NaN,0.000755,0.001540,0.001059,0.000909,0.001699,NaN,0.000780,0.001537,0.000942,0.000665,0.002146,NaN,0.0201,0.0587,0.0522,0.0402,0.0434,NaN,0.0278,0.0450,0.0397,0.0242,0.0634,NaN
309,0.1747,0.1311,0.1400,0.1564,0.1350,NaN,0.1728,0.1307,0.1448,0.1658,0.1253,NaN,0.000758,0.001546,0.001068,0.000914,0.001752,NaN,0.000781,0.001538,0.000986,0.000684,0.002188,NaN,0.0200,0.0594,0.0526,0.0403,0.0425,NaN,0.0280,0.0449,0.0370,0.0251,0.0637,NaN
312,0.1743,0.1306,0.1401,0.1566,0.1372,NaN,0.1721,0.1302,0.1437,0.1639,0.1247,NaN,0.000759,0.001553,0.001080,0.000917,0.001777,NaN,0.000783,0.001538,0.001013,0.000703,0.002238,NaN,0.0202,0.0597,0.0526,0.0402,0.0413,NaN,0.0285,0.0452,0.0376,0.0261,0.0642,NaN
315,0.1741,0.1303,0.1405,0.1565,0.1361,NaN,0.1719,0.1278,0.1390,0.1635,0.1240,NaN,0.000764,0.001559,0.001086,0.000918,0.001803,NaN,0.000790,0.001538,0.001023,0.000726,0.002266,NaN,0.0203,0.0599,0.0523,0.0402,0.0419,NaN,0.0287,0.0466,0.0403,0.0263,0.0647,NaN
318,0.1743,0.1302,0.1416,0.1563,0.1382,NaN,0.1721,0.1259,0.1394,0.1640,0.1230,NaN,0.000766,0.001564,0.001089,0.000920,0.001831,NaN,0.000795,0.001545,0.001044,0.000740,0.002305,NaN,0.0202,0.0600,0.0514,0.0404,0.0407,NaN,0.0285,0.0477,0.0400,0.0261,0.0654,NaN
321,0.1736,0.1299,0.1428,0.1563,0.1444,NaN,0.1719,0.1244,0.1403,0.1625,0.1217,NaN,0.000769,0.001567,0.001086,0.000921,0.001849,NaN,0.000799,0.001553,0.001053,0.000756,0.002345,NaN,0.0206,0.0602,0.0505,0.0404,0.0372,NaN,0.0287,0.0485,0.0395,0.0269,0.0664,NaN
324,0.1733,0.1299,0.1434,0.1562,0.1471,NaN,0.1709,0.1254,0.1387,0.1602,0.1210,NaN,0.000772,0.001568,0.001078,0.000923,0.001819,NaN,0.000802,0.001562,0.001064,0.000770,0.002414,NaN,0.0208,0.0603,0.0501,0.0405,0.0356,NaN,0.0294,0.0479,0.0404,0.0282,0.0670,NaN
327,0.1736,0.1295,0.1438,0.1563,0.1444,NaN,0.1705,0.1264,0.1373,0.1609,0.1202,NaN,0.000776,0.001572,0.001068,0.000923,0.001770,NaN,0.000813,0.001563,0.001073,0.000787,0.002475,NaN,0.0206,0.0606,0.0498,0.0404,0.0372,NaN,0.0297,0.0474,0.0412,0.0278,0.0676,NaN
330,0.1741,0.1291,0.1444,0.1565,0.1368,NaN,0.1700,0.1267,0.1358,0.1598,0.1197,NaN,0.000775,0.001577,0.001057,0.000922,0.001777,NaN,0.000819,0.001555,0.001086,0.000798,0.002537,NaN,0.0204,0.0608,0.0494,0.0403,0.0415,NaN,0.0301,0.0472,0.0420,0.0285,0.0679,NaN
333,0.1747,0.1289,0.1445,0.1561,0.1344,NaN,0.1694,0.1276,0.1363,0.1587,0.1198,NaN,0.000772,0.001580,0.001041,0.000921,0.001857,NaN,0.000825,0.001548,0.001092,0.000814,0.002611,NaN,0.0200,0.0610,0.0493,0.0405,0.0428,NaN,0.0305,0.0467,0.0417,0.0290,0.0679,NaN
336,0.1750,0.1286,0.1445,0.1556,0.1324,NaN,0.1686,0.1304,0.1375,0.1586,0.1193,NaN,0.000767,0.001583,0.001033,0.000922,0.001952,NaN,0.000833,0.001531,0.001094,0.000825,0.002672,NaN,0.0198,0.0612,0.0493,0.0410,0.0440,NaN,0.0311,0.0451,0.0411,0.0291,0.0683,NaN
339,0.1748,0.1284,0.1446,0.1552,0.1270,NaN,0.1686,0.1320,0.1410,0.1587,0.1188,NaN,0.000759,0.001586,0.001023,0.000925,0.002101,NaN,0.000842,0.001509,0.001088,0.000836,0.002715,NaN,0.0200,0.0614,0.0492,0.0412,0.0471,NaN,0.0311,0.0442,0.0391,0.0291,0.0686,NaN
342,0.1736,0.1282,0.1441,0.1551,0.1249,NaN,0.1682,0.1299,0.1444,0.1632,0.1191,NaN,0.000757,0.001589,0.001019,0.000926,0.002219,NaN,0.000850,0.001487,0.001062,0.000837,0.002750,NaN,0.0206,0.0615,0.0496,0.0413,0.0482,NaN,0.0315,0.0454,0.0372,0.0265,0.0684,NaN
345,0.1712,0.1281,0.1430,0.1542,0.1263,NaN,0.1678,0.1272,0.1419,0.1608,0.1190,NaN,0.000770,0.001593,0.001019,0.000933,0.002365,NaN,0.000867,0.001482,0.001042,0.000826,0.002779,NaN,0.0220,0.0616,0.0504,0.0420,0.0474,NaN,0.0317,0.0469,0.0386,0.0279,0.0685,NaN
348,0.1712,0.1276,0.1400,0.1535,0.1273,NaN,0.1666,0.1269,0.1438,0.1566,0.1186,NaN,0.000782,0.001598,0.001025,0.000941,0.002445,NaN,0.000875,0.001491,0.001024,0.000826,0.002793,NaN,0.0220,0.0620,0.0527,0.0425,0.0469,NaN,0.0327,0.0471,0.0375,0.0303,0.0687,NaN
351,0.1708,0.1269,0.1385,0.1529,0.1258,NaN,0.1660,0.1267,0.1506,0.1569,0.1186,NaN,0.000797,0.001602,0.001045,0.000946,0.002514,NaN,0.000884,0.001500,0.001006,0.000839,0.002811,NaN,0.0222,0.0625,0.0538,0.0430,0.0477,NaN,0.0331,0.0472,0.0337,0.0301,0.0688,NaN
354,0.1708,0.1266,0.1376,0.1523,0.1233,NaN,0.1660,0.1255,0.1601,0.1590,0.1188,NaN,0.000804,0.001607,0.001062,0.000955,0.002561,NaN,0.000894,0.001508,0.000943,0.000846,0.002827,NaN,0.0222,0.0628,0.0545,0.0434,0.0491,NaN,0.0331,0.0479,0.0283,0.0289,0.0686,NaN
357,0.1710,0.1262,0.1365,0.1519,0.1210,NaN,0.1660,0.1247,0.1612,0.1633,0.1193,NaN,0.000812,0.001611,0.001086,0.000963,0.002650,NaN,0.000901,0.001517,0.000891,0.000842,0.002831,NaN,0.0221,0.0630,0.0553,0.0437,0.0504,NaN,0.0331,0.0483,0.0276,0.0265,0.0683,NaN
360,0.1709,0.1258,0.1355,0.1514,0.1197,NaN,0.1660,0.1246,0.1589,0.1662,0.1197,NaN,0.000815,0.001615,0.001102,0.000971,0.002748,NaN,0.000907,0.001529,0.000828,0.000820,0.002829,NaN,0.0222,0.0633,0.0560,0.0441,0.0512,NaN,0.0331,0.0484,0.0289,0.0248,0.0679,NaN
363,0.1702,0.1254,0.1346,0.1510,0.1216,NaN,0.1654,0.1242,0.1578,0.1637,0.1198,NaN,0.000821,0.001620,0.001117,0.000979,0.002855,NaN,0.000917,0.001537,0.000808,0.000795,0.002823,NaN,0.0225,0.0636,0.0567,0.0444,0.0501,NaN,0.0335,0.0486,0.0296,0.0262,0.0678,NaN
366,0.1704,0.1248,0.1339,0.1507,0.1244,NaN,0.1654,0.1237,0.1626,0.1604,0.1199,NaN,0.000823,0.001624,0.001131,0.000985,0.002888,NaN,0.000921,0.001546,0.000787,0.000786,0.002819,NaN,0.0224,0.0641,0.0573,0.0446,0.0485,NaN,0.0336,0.0489,0.0269,0.0281,0.0678,NaN
369,0.1703,0.1244,0.1330,0.1506,0.1283,NaN,0.1657,0.1240,0.1692,0.1552,0.1196,NaN,0.000825,0.001626,0.001147,0.000988,0.002887,NaN,0.000922,0.001551,0.000763,0.000798,0.002817,NaN,0.0225,0.0644,0.0579,0.0447,0.0463,NaN,0.0334,0.0487,0.0231,0.0311,0.0680,NaN
372,0.1698,0.1241,0.1328,0.1506,0.1311,NaN,0.1660,0.1251,0.1797,0.1528,NaN,NaN,0.000827,0.001627,0.001155,0.000990,0.002845,NaN,0.000923,0.001554,0.000694,0.000823,NaN,NaN,0.0228,0.0646,0.0581,0.0447,0.0447,NaN,0.0331,0.0481,0.0172,0.0324,NaN,NaN
375,0.1673,0.1240,0.1326,0.1502,0.1309,NaN,0.1664,0.1263,0.1739,0.1542,NaN,NaN,0.000835,0.001628,0.001162,0.000993,0.002770,NaN,0.000921,0.001550,0.000641,0.000852,NaN,NaN,0.0242,0.0647,0.0583,0.0450,0.0448,NaN,0.0328,0.0475,0.0205,0.0316,NaN,NaN
378,0.1660,NaN,0.1324,0.1498,0.1293,NaN,0.1657,0.1269,0.1641,0.1555,NaN,NaN,0.000849,NaN,0.001168,0.000996,0.002729,NaN,0.000920,0.001540,0.000630,0.000866,NaN,NaN,0.0249,NaN,0.0584,0.0453,0.0457,NaN,0.0334,0.0471,0.0260,0.0309,NaN,NaN
381,0.1676,NaN,0.1323,0.1497,NaN,NaN,0.1643,0.1271,0.1711,0.1545,NaN,NaN,0.000863,NaN,0.001170,0.000999,NaN,NaN,0.000924,0.001532,0.000637,0.000878,NaN,NaN,0.0240,NaN,0.0585,0.0454,NaN,NaN,0.0344,0.0470,0.0221,0.0315,NaN,NaN
