s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
366,388.12,391.81,1.25,0.56,0.53,0.39,0.29,0.27,19.48
367,390.77,392.36,1.25,0.56,0.51,0.39,0.29,0.26,19.5
368,394.08,391.89,1.26,0.57,0.53,0.36,0.29,0.27,19.51
369,389.37,391.65,1.26,0.56,0.53,0.38,0.29,0.28,19.46
370,390.23,391.88,1.26,0.56,0.54,0.38,0.29,0.26,19.42
371,386.86,392.01,1.25,0.55,0.54,0.39,0.29,0.28,19.41
372,387.26,391.95,1.24,0.55,0.53,0.39,0.29,0.28,19.41
373,389.15,391.39,1.25,0.55,0.53,0.38,0.29,0.27,19.38
374,387.21,391.84,1.24,0.55,0.53,0.39,0.29,0.27,19.34
375,386.91,391.67,1.24,0.56,0.53,0.39,0.29,0.27,19.33
376,384.93,391.6,1.24,0.56,0.53,0.38,0.28,0.26,19.3
377,386.6,392.05,1.24,0.56,0.53,0.38,0.29,0.25,19.25
378,394.67,391.42,1.24,0.53,0.51,0.38,0.28,0.26,19.19
379,388.71,391.77,1.24,0.55,0.53,0.38,0.28,0.27,19.18
380,394.92,391.76,1.21,0.55,0.51,0.38,0.28,0.25,19.17
381,398.72,391.79,1.21,0.53,0.51,0.36,0.29,0.25,19.15
382,395.79,391.66,1.2,0.55,0.51,0.35,0.28,0.26,19.16
383,402.93,391.54,1.2,0.53,0.51,0.36,0.28,0.26,19.23
384,400.57,391.9,1.21,0.52,0.51,0.36,0.28,0.24,19.22
385,401.84,392.03,1.21,0.52,0.5,0.36,0.28,0.25,19.24
386,400.32,391.95,1.22,0.52,0.5,0.34,0.28,0.26,19.23
387,394.04,392.12,1.2,0.52,0.5,0.35,0.27,0.26,19.18
388,394.64,391.51,1.2,0.53,0.5,0.35,0.26,0.25,19.16
389,391.95,391.48,1.21,0.53,0.48,0.36,0.27,0.25,19.16
390,388.21,392.09,1.22,0.53,0.5,0.36,0.27,0.25,19.13
391,388.26,391.86,1.21,0.53,0.5,0.36,0.27,0.25,19.12
392,390.86,391.53,1.2,0.53,0.5,0.36,0.27,0.25,19.1
393,391.31,391.64,1.21,0.53,0.51,0.35,0.27,0.25,19.11
394,391.67,391.86,1.22,0.53,0.51,0.36,0.26,0.25,19.14
395,396.37,391.68,1.24,0.53,0.51,0.38,0.27,0.25,19.16
396,399.06,391.44,1.26,0.53,0.51,0.38,0.27,0.26,19.15
397,400.74,391.7,1.26,0.55,0.51,0.38,0.27,0.26,19.17
398,397.08,391.94,1.28,0.55,0.5,0.38,0.28,0.27,19.18
399,396.59,391.66,1.29,0.55,0.48,0.39,0.28,0.27,19.2
400,393.62,391.81,1.28,0.55,0.5,0.39,0.27,0.26,19.22
401,392.11,391.71,1.26,0.55,0.51,0.39,0.27,0.27,19.22
402,390.48,391.57,1.25,0.55,0.5,0.39,0.28,0.26,19.23
403,394.17,391.61,1.25,0.55,0.5,0.38,0.28,0.26,19.24
404,392.95,391.78,1.24,0.55,0.51,0.36,0.28,0.26,19.25
405,393.57,392.04,1.2,0.55,0.5,0.34,0.28,0.27,19.25
406,392.73,391.7,1.17,0.53,0.5,0.36,0.27,0.27,19.25
407,394.83,392.15,1.17,0.53,0.51,0.36,0.27,0.26,19.26
408,389.9,391.78,1.2,0.55,0.51,0.38,0.28,0.27,19.26
409,388.58,391.82,1.2,0.55,0.5,0.38,0.28,0.27,19.22
410,388.84,391.71,1.2,0.55,0.48,0.38,0.28,0.28,19.19
411,394.72,392.04,1.17,0.56,0.48,0.39,0.27,0.27,19.18
412,391.31,392.04,1.18,0.55,0.48,0.39,0.27,0.26,19.2
413,397.78,391.73,1.18,0.55,0.5,0.39,0.28,0.28,19.2
414,399.5,391.73,1.22,0.56,0.53,0.39,0.29,0.28,19.2
415,399.57,391.6,1.25,0.56,0.53,0.4,0.3,0.27,19.21
416,400.8,391.72,1.24,0.57,0.51,0.39,0.29,0.28,19.21
417,400.39,391.79,1.24,0.56,0.51,0.4,0.29,0.28,19.22
418,406.1,391.77,1.24,0.56,0.51,0.39,0.29,0.28,19.21
419,411.79,391.63,1.22,0.55,0.51,0.39,0.29,0.27,19.19
420,419.32,391.88,1.24,0.53,0.53,0.39,0.29,0.28,19.18
421,413.56,391.79,1.25,0.53,0.53,0.39,0.29,0.28,19.19
422,416.1,391.47,1.22,0.53,0.53,0.39,0.29,0.27,19.19
423,410.71,391.77,1.21,0.53,0.5,0.39,0.28,0.27,19.18
424,409.39,391.7,1.22,0.55,0.53,0.39,0.28,0.28,19.19
425,413.07,391.55,1.2,0.55,0.51,0.38,0.28,0.28,19.19
426,409.76,391.5,1.22,0.55,0.53,0.38,0.28,0.28,19.17
427,401.34,391.93,1.25,0.55,0.5,0.38,0.28,0.28,19.16
428,401.5,391.84,1.26,0.56,0.51,0.38,0.29,0.28,19.19
429,406.39,391.74,1.25,0.56,0.53,0.38,0.29,0.28,19.22
430,409.82,391.66,1.24,0.55,0.53,0.38,0.29,0.28,19.24
431,404.52,392.15,1.24,0.53,0.53,0.38,0.28,0.27,19.23
432,406.68,391.75,1.22,0.53,0.5,0.38,0.27,0.26,19.23
433,405.63,391.54,1.21,0.55,0.5,0.38,0.26,0.27,19.24
434,405.13,391.88,1.21,0.55,0.5,0.39,0.28,0.27,19.25
435,398.83,391.61,1.21,0.55,0.5,0.39,0.28,0.27,19.26
436,399.77,391.94,1.22,0.55,0.5,0.39,0.28,0.27,19.26
437,395.16,391.08,1.21,0.56,0.51,0.39,0.28,0.26,19.25
438,399.09,391.46,1.21,0.56,0.53,0.4,0.29,0.27,19.22
439,399.45,391.64,1.22,0.56,0.53,0.4,0.28,0.28,19.19
440,401.2,391.49,1.24,0.57,0.54,0.39,0.29,0.27,19.21
441,399.38,391.82,1.22,0.56,0.53,0.39,0.28,0.27,19.22
442,401.26,391.8,1.25,0.57,0.54,0.39,0.29,0.27,19.24
443,390.92,391.8,1.28,0.56,0.54,0.39,0.29,0.29,19.27
444,396.43,391.62,1.26,0.57,0.54,0.38,0.29,0.28,19.27
445,398.25,391.98,1.26,0.57,0.53,0.4,0.29,0.28,19.25
446,397.88,391.54,1.25,0.57,0.53,0.39,0.29,0.29,19.24
447,398.43,391.76,1.24,0.57,0.51,0.39,0.29,0.3,19.24
448,394.27,392.05,1.22,0.56,0.51,0.39,0.28,0.28,19.27
449,394.58,391.63,1.21,0.56,0.5,0.38,0.28,0.28,19.29
450,393.8,391.49,1.2,0.55,0.5,0.38,0.28,0.28,19.3
451,395.25,392.14,1.2,0.56,0.51,0.36,0.28,0.27,19.27
452,394.61,391.88,1.2,0.55,0.51,0.36,0.28,0.27,19.25
453,394.26,391.8,1.22,0.56,0.51,0.36,0.27,0.27,19.24
454,396.43,391.76,1.21,0.53,0.5,0.36,0.26,0.27,19.23
455,398.53,392.06,1.2,0.52,0.51,0.36,0.27,0.27,19.22
456,395.58,391.34,1.2,0.53,0.5,0.38,0.27,0.27,19.21
457,401.43,391.86,1.18,0.53,0.5,0.38,0.27,0.27,19.21
458,398.68,391.78,1.17,0.53,0.5,0.38,0.27,0.27,19.21
459,409.07,391.97,1.17,0.53,0.48,0.38,0.27,0.27,19.23
460,404.52,391.95,1.18,0.55,0.48,0.38,0.27,0.28,19.27
461,409.18,391.43,1.22,0.57,0.5,0.4,0.29,0.28,19.3
462,404.35,391.59,1.24,0.57,0.51,0.4,0.28,0.28,19.32
463,401.78,392.13,1.24,0.57,0.51,0.42,0.29,0.29,19.34
464,405.21,391.6,1.25,0.57,0.51,0.4,0.28,0.28,19.34
465,402.63,391.64,1.25,0.57,0.54,0.4,0.28,0.28,19.35
466,399.54,391.83,1.24,0.57,0.53,0.4,0.28,0.29,19.36
467,399.04,391.69,1.22,0.57,0.53,0.4,0.28,0.29,19.34
468,393.99,391.8,1.22,0.57,0.51,0.4,0.28,0.29,19.34
469,395.82,391.77,1.24,0.59,0.51,0.42,0.29,0.29,19.38
470,393.92,391.96,1.24,0.59,0.53,0.4,0.29,0.3,19.37
471,391.92,391.75,1.25,0.59,0.51,0.39,0.29,0.3,19.37
472,389.43,391.76,1.22,0.57,0.51,0.39,0.29,0.29,19.35
473,391.26,391.56,1.22,0.57,0.53,0.39,0.28,0.29,19.33
474,395.1,391.69,1.22,0.57,0.53,0.39,0.29,0.29,19.3
475,402,391.58,1.2,0.57,0.5,0.39,0.29,0.29,19.24
476,403.14,391.41,1.2,0.57,0.51,0.39,0.28,0.28,19.21
477,403.19,391.9,1.2,0.56,0.51,0.38,0.29,0.28,19.22
478,396.18,391.72,1.2,0.56,0.48,0.38,0.28,0.28,19.18
479,389.27,391.69,1.18,0.56,0.48,0.38,0.28,0.28,19.16
480,393.25,391.88,1.18,0.56,0.5,0.38,0.27,0.28,19.15
481,392.53,391.8,1.2,0.56,0.5,0.38,0.28,0.28,19.12
482,392.1,391.82,1.22,0.57,0.51,0.4,0.29,0.28,19.12
483,392.88,391.64,1.24,0.57,0.53,0.39,0.28,0.29,19.12
484,393.66,391.9,1.24,0.56,0.53,0.38,0.28,0.29,19.14
485,393.76,391.81,1.26,0.57,0.53,0.39,0.28,0.29,19.11
486,400.91,391.7,1.28,0.56,0.51,0.39,0.28,0.29,19.1
487,402.16,391.73,1.25,0.56,0.53,0.38,0.29,0.29,19.11
488,408.32,391.87,1.3,0.56,0.54,0.39,0.29,0.3,19.14
489,402.65,391.81,1.3,0.56,0.54,0.39,0.29,0.3,19.17
490,405.09,392.12,1.26,0.56,0.53,0.38,0.29,0.29,19.17
491,395.94,392.1,1.25,0.56,0.54,0.39,0.29,0.28,19.19
492,403.21,391.69,1.22,0.56,0.53,0.38,0.28,0.29,19.22
493,396.28,391.52,1.21,0.55,0.5,0.38,0.27,0.28,19.23
494,399.61,392.08,1.18,0.57,0.48,0.4,0.27,0.29,19.23
495,403.68,391.98,1.22,0.56,0.5,0.39,0.28,0.29,19.23
496,401.82,391.86,1.22,0.56,0.51,0.39,0.29,0.29,19.24
497,394.99,391.58,1.24,0.56,0.53,0.38,0.3,0.29,19.25
498,399.99,391.63,1.22,0.55,0.53,0.38,0.29,0.29,19.25
499,394.19,391.73,1.2,0.55,0.51,0.38,0.28,0.28,19.26
500,398.16,391.37,1.24,0.56,0.53,0.38,0.29,0.28,19.28
501,398.68,392,1.26,0.57,0.54,0.39,0.29,0.28,19.28
502,402.48,391.95,1.26,0.56,0.54,0.39,0.29,0.29,19.27
503,404.05,392.18,1.25,0.56,0.53,0.4,0.3,0.29,19.3
504,404.82,391.64,1.21,0.57,0.51,0.4,0.29,0.28,19.31
505,400.89,391.3,1.2,0.57,0.51,0.4,0.28,0.28,19.33
506,404.64,391.59,1.18,0.56,0.5,0.38,0.29,0.28,19.36
507,405.79,391.71,1.16,0.55,0.51,0.38,0.29,0.29,19.39
508,403.18,391.6,1.17,0.56,0.53,0.38,0.29,0.28,19.4
509,397.55,392.02,1.13,0.56,0.51,0.39,0.28,0.28,19.4
510,405.4,391.65,1.16,0.56,0.54,0.39,0.28,0.28,19.38
511,406.79,391.67,1.17,0.57,0.54,0.39,0.29,0.29,19.38
512,410.27,391.54,1.13,0.56,0.53,0.39,0.28,0.28,19.39
513,408.95,391.57,1.13,0.56,0.53,0.39,0.29,0.28,19.41
514,410.38,391.99,1.18,0.57,0.53,0.39,0.29,0.29,19.4
515,402.65,391.7,1.2,0.57,0.51,0.39,0.29,0.29,19.36
516,400.06,391.37,1.22,0.57,0.53,0.39,0.29,0.29,19.32
517,394.63,391.66,1.2,0.56,0.51,0.39,0.29,0.28,19.29
518,394.11,392.06,1.22,0.57,0.53,0.4,0.3,0.28,19.28
519,392.43,449.69,1.21,0.59,0.54,0.39,0.3,0.29,19.26
520,397.77,919.75,1.87,0.88,0.91,0.59,0.45,0.43,19.27
521,404.1,1014.31,3.19,1.58,1.56,1.04,0.78,0.71,19.3
522,414.94,1019.87,3.48,1.8,1.68,1.16,0.85,0.77,19.32
523,440.91,1009.86,3.51,1.84,1.68,1.19,0.87,0.78,19.35
524,496.6,1019.89,3.44,1.81,1.65,1.19,0.86,0.76,19.38
525,571.41,1011.56,3.56,1.84,1.69,1.2,0.88,0.79,19.39
526,660.15,1017.63,3.64,1.83,1.74,1.2,0.89,0.8,19.4
527,752,1013.22,3.6,1.84,1.74,1.21,0.89,0.8,19.41
528,833.22,1016.77,3.61,1.88,1.74,1.23,0.91,0.81,19.43
529,899.64,1015.08,3.52,1.83,1.69,1.2,0.89,0.78,19.42
530,942.72,1016.49,3.55,1.85,1.71,1.2,0.89,0.79,19.41
531,980.41,1014.92,3.62,1.88,1.74,1.23,0.9,0.81,19.38
532,1008.01,1015.71,3.59,1.89,1.74,1.24,0.89,0.8,19.35
533,1017.57,1014.34,3.57,1.92,1.72,1.24,0.9,0.81,19.31
534,1032.32,1014.59,3.59,1.88,1.71,1.23,0.89,0.81,19.28
535,1037.59,1014.8,3.64,1.89,1.75,1.25,0.92,0.82,19.26
536,1038.68,1014.73,3.78,1.91,1.78,1.27,0.92,0.82,19.25
537,1050.41,1014.79,3.73,1.91,1.77,1.25,0.92,0.82,19.26
538,1052.67,1014.73,3.66,1.87,1.72,1.24,0.9,0.81,19.28
539,1048.82,1014.67,3.59,1.84,1.72,1.24,0.89,0.8,19.33
540,1034.22,1014.85,3.61,1.87,1.74,1.23,0.9,0.81,19.34
541,1023.08,1014.72,3.74,1.88,1.8,1.25,0.93,0.82,19.33
542,1016.25,1014.78,3.74,1.93,1.81,1.28,0.94,0.84,19.3
543,1003.2,1014.64,3.74,1.96,1.81,1.29,0.95,0.85,19.32
544,993.92,1014.78,3.62,1.89,1.75,1.25,0.91,0.82,19.34
545,993.35,1014.71,3.61,1.88,1.75,1.23,0.91,0.82,19.36
546,994.42,1014.52,3.73,1.95,1.83,1.29,0.94,0.84,19.36
547,992.58,1014.74,3.88,2,1.86,1.32,0.97,0.86,19.36
548,993.28,1014.86,3.84,1.99,1.8,1.31,0.94,0.84,19.36
549,994.09,1014.98,3.73,1.99,1.77,1.28,0.92,0.84,19.35
550,1004.35,1014.96,3.72,1.96,1.78,1.27,0.92,0.82,19.32
551,1006.5,1014.5,3.64,1.91,1.77,1.24,0.91,0.81,19.32
552,1020.74,1014.34,3.62,1.85,1.74,1.23,0.91,0.8,19.32
553,1023.43,1014.69,3.72,1.87,1.75,1.24,0.92,0.81,19.36
554,1029.73,1014.62,3.74,1.92,1.75,1.29,0.94,0.83,19.37
555,1014.61,1014.11,3.84,1.97,1.8,1.32,0.95,0.86,19.42
556,1008.42,1014.6,3.74,1.91,1.78,1.27,0.93,0.83,19.43
557,1010.57,1014.42,3.73,1.85,1.77,1.24,0.92,0.81,19.4
558,1026.04,1019.32,3.64,1.87,1.75,1.24,0.93,0.82,19.38
559,1036.34,1019.02,3.65,1.89,1.77,1.25,0.93,0.83,19.37
560,1047.87,1018.87,3.69,1.91,1.77,1.24,0.94,0.83,19.41
561,1039.57,1018.66,3.64,1.87,1.77,1.21,0.92,0.82,19.42
562,1037,1018.6,3.62,1.81,1.75,1.24,0.92,0.82,19.39
563,1036.66,1017.72,3.72,1.88,1.8,1.25,0.95,0.83,19.4
564,1042.49,1018.64,3.77,1.92,1.83,1.28,0.96,0.84,19.43
565,1034.44,1018.38,3.78,1.96,1.81,1.29,0.97,0.85,19.45
566,1035.82,1019.4,3.8,1.96,1.8,1.29,0.96,0.85,19.43
567,1028.12,1018.21,3.9,1.93,1.84,1.28,0.97,0.85,19.4
568,1019.89,1017.56,3.84,1.91,1.8,1.27,0.96,0.84,19.39
569,1019.83,1018.06,3.65,1.84,1.72,1.23,0.92,0.82,19.38
570,1013.68,1017.25,3.64,1.85,1.74,1.24,0.92,0.82,19.38
571,1007.48,1017.02,3.69,1.87,1.74,1.24,0.93,0.82,19.4
572,1001.94,1017.57,3.7,1.88,1.74,1.24,0.92,0.83,19.41
573,988.41,1017.9,3.76,1.93,1.72,1.24,0.9,0.82,19.37
574,992.33,1016.79,3.74,1.95,1.72,1.25,0.9,0.83,19.35
575,989.9,1016.88,3.68,1.88,1.71,1.24,0.9,0.83,19.3
576,990.62,1015.43,3.66,1.88,1.72,1.24,0.91,0.82,19.25
577,999.93,1015.75,3.69,1.95,1.78,1.29,0.92,0.85,19.22
578,1015.98,1016.1,3.78,1.97,1.83,1.31,0.93,0.86,19.19
579,1026.65,1015.77,3.81,1.92,1.77,1.27,0.92,0.85,19.18
580,1027.75,1015.53,3.74,1.87,1.74,1.27,0.92,0.82,19.19
581,1027.08,1015.91,3.78,1.89,1.75,1.27,0.93,0.85,19.24
582,1026.01,1015.55,3.74,1.87,1.75,1.24,0.91,0.83,19.25
583,1025.32,1015.91,3.88,1.91,1.81,1.27,0.92,0.84,19.24
584,1023.04,1015.6,3.86,1.95,1.81,1.28,0.92,0.84,19.23
585,1027.4,1016.35,3.77,1.96,1.8,1.29,0.92,0.84,19.22
586,1040.59,1015.79,3.76,1.97,1.78,1.31,0.91,0.83,19.24
587,1053.34,1015.75,3.78,1.99,1.8,1.31,0.92,0.85,19.27
588,1050.96,1016.01,3.88,1.97,1.86,1.29,0.96,0.86,19.29
589,1044.51,1016.11,3.95,2,1.89,1.31,0.98,0.86,19.28
590,1034.7,1015.43,4.01,2.01,1.89,1.32,0.96,0.86,19.26
591,1017.74,1014.41,3.98,2.03,1.86,1.32,0.95,0.86,19.23
592,1002.19,1014.63,3.9,1.96,1.81,1.27,0.93,0.83,19.22
593,989.93,1014.66,3.91,1.95,1.8,1.27,0.91,0.83,19.23
594,980.41,1014.81,3.88,1.93,1.8,1.27,0.92,0.83,19.25
595,975.67,1014.74,3.89,1.96,1.84,1.29,0.93,0.85,19.26
596,971.28,1013.49,3.98,2.03,1.87,1.33,0.95,0.86,19.27
597,985.77,1014.7,3.99,2.05,1.89,1.33,0.95,0.86,19.26
598,988.67,1014.4,3.97,2.03,1.87,1.33,0.94,0.86,19.25
599,987.57,1014.29,4.01,2.05,1.86,1.35,0.95,0.87,19.24
600,995.68,1015.45,4.02,2.08,1.86,1.36,0.95,0.87,19.25
601,999.62,1014.13,4.01,2.09,1.84,1.37,0.96,0.86,19.26
602,995.39,1013.75,4.03,2.09,1.86,1.37,0.97,0.86,19.26
603,999.65,1014.14,4.03,2.04,1.87,1.33,0.96,0.86,19.27
604,999.17,1013.81,4.03,2.03,1.87,1.33,0.96,0.88,19.27
605,1010.51,1013.25,3.97,1.99,1.84,1.31,0.95,0.86,19.28
606,1023.42,1013.13,3.86,1.93,1.78,1.28,0.94,0.83,19.33
607,1028.37,1013.65,3.88,1.96,1.83,1.29,0.95,0.86,19.38
608,1034.55,1013.89,3.85,1.97,1.86,1.31,0.95,0.86,19.42
609,1026.26,1012.87,3.93,1.97,1.87,1.29,0.96,0.86,19.44
610,1014.43,1013.37,3.89,2.01,1.87,1.32,0.97,0.86,19.43
611,1008.71,1012.11,3.93,2.01,1.89,1.33,0.97,0.88,19.45
612,1002.92,1013.05,3.95,2.01,1.84,1.32,0.95,0.87,19.48
613,1001.33,1013.1,3.98,2.01,1.84,1.32,0.94,0.86,19.5
614,998.46,1012.31,3.97,2.04,1.83,1.32,0.94,0.87,19.52
615,1003.79,1013.59,3.94,2.01,1.81,1.32,0.93,0.86,19.53
616,1005.22,1012.5,3.81,1.96,1.77,1.28,0.92,0.85,19.5
617,1010.47,1012.58,3.77,1.93,1.75,1.28,0.92,0.84,19.47
618,1009.7,1012.86,3.91,2.01,1.83,1.32,0.94,0.85,19.48
619,1021.37,1012.41,4.02,2.04,1.89,1.35,0.96,0.88,19.51
620,1014.42,1012.4,4.07,2.04,1.89,1.35,0.96,0.88,19.5
621,1005.03,1012.07,4.09,2.05,1.87,1.35,0.96,0.88,19.49
622,994.07,1012.72,4.1,2.07,1.89,1.35,0.97,0.89,19.47
623,990.78,1012.68,4.05,2.04,1.86,1.35,0.96,0.88,19.45
624,988.13,1012.36,3.98,2.03,1.84,1.31,0.93,0.86,19.43
625,993.64,1012.22,3.97,2,1.81,1.31,0.92,0.85,19.41
626,998.1,1012.27,4.06,2.03,1.83,1.32,0.94,0.85,19.39
627,1002.77,1012.5,3.99,2.01,1.81,1.31,0.93,0.85,19.4
628,1020.08,1012.81,3.97,2.04,1.84,1.33,0.94,0.87,19.41
629,1036.55,1012.32,4.1,2.09,1.89,1.36,0.96,0.88,19.42
630,1044.94,1012.16,4.18,2.1,1.91,1.36,0.97,0.89,19.39
631,1050.66,1012.39,4.14,2.07,1.87,1.35,0.98,0.87,19.35
632,1061.45,1012.41,4.03,2.01,1.83,1.32,0.93,0.85,19.34
633,1062.03,1012.61,3.93,1.99,1.81,1.31,0.93,0.86,19.33
634,1063.8,1012.38,3.94,2.03,1.81,1.32,0.94,0.86,19.35
635,1053.56,1012.39,4.01,2.01,1.83,1.32,0.94,0.86,19.32
636,1050.59,1012.21,4.15,2.03,1.87,1.35,0.97,0.89,19.31
637,1041.14,1012.31,4.06,2.01,1.87,1.32,0.97,0.87,19.28
638,1029.22,1012.22,4.1,2.05,1.9,1.36,1,0.89,19.26
639,1011.5,1012.31,4.03,2.04,1.9,1.37,0.99,0.89,19.25
640,1002.64,1012.56,4.07,2.04,1.91,1.37,1,0.9,19.26
641,994.55,1012.31,3.98,2.03,1.89,1.35,0.99,0.89,19.25
642,1010.07,1012.6,4.01,2.05,1.9,1.37,0.99,0.9,19.25
643,1020.74,1011.91,3.98,2.05,1.9,1.35,0.99,0.9,19.25
644,1030.4,1012.74,3.93,2.01,1.86,1.33,0.96,0.88,19.27
645,1035.21,1012.38,3.88,2.01,1.84,1.32,0.94,0.88,19.28
646,1042.03,1012.01,3.85,2,1.78,1.31,0.92,0.87,19.28
647,1047.18,1011.91,3.91,2.01,1.8,1.32,0.92,0.87,19.26
648,1043.47,1011.88,3.91,2.01,1.8,1.32,0.94,0.87,19.26
649,1043.97,1011.56,3.95,2.03,1.81,1.32,0.94,0.87,19.27
650,1030.61,1011.06,3.9,2,1.8,1.31,0.92,0.85,19.29
651,1027.57,1011.38,3.93,2,1.78,1.31,0.92,0.84,19.29
652,1024.86,1011.4,4.1,2.05,1.83,1.33,0.95,0.86,19.3
653,1007.06,1011.98,4.15,2.13,1.91,1.37,0.98,0.88,19.31
654,981.69,1011.64,4.17,2.16,1.96,1.4,1.01,0.91,19.31
655,960.83,1011.29,4.19,2.13,1.94,1.38,1.01,0.91,19.31
656,937.95,1011.77,4.24,2.14,1.97,1.38,1,0.91,19.32
657,928.22,1010.32,4.17,2.08,1.94,1.37,0.99,0.9,19.28
658,930.44,1011.81,4.18,2.07,1.96,1.37,1.01,0.9,19.25
659,937.77,1010.92,4.21,2.08,1.94,1.38,1.01,0.92,19.24
660,944.76,1011.34,4.21,2.14,1.96,1.4,1.01,0.92,19.22
661,940.68,1010.2,4.17,2.14,1.93,1.4,0.99,0.9,19.19
662,951.09,1010.69,4.17,2.14,1.93,1.41,1,0.91,19.16
663,957.52,1010.72,4.02,2.08,1.86,1.38,0.98,0.9,19.15
664,963.76,1010.01,4.15,2.12,1.91,1.41,1.01,0.92,19.17
665,963.79,1009.07,4.23,2.13,1.91,1.41,1.01,0.91,19.22
666,973.58,1008.65,4.15,2.09,1.91,1.4,1.02,0.91,19.26
667,972.32,1009.82,4.11,2.07,1.93,1.4,1.02,0.92,19.3
668,964.97,1009.18,3.99,2.01,1.89,1.36,0.98,0.9,19.29
669,957.63,1009.36,3.88,1.96,1.84,1.31,0.95,0.86,19.27
670,964.09,1009.22,3.9,1.99,1.87,1.32,0.97,0.87,19.24
671,983.75,1008.9,3.99,2.03,1.9,1.35,1,0.89,19.2
672,1008.32,1009.06,4.02,1.97,1.9,1.33,0.98,0.88,19.19
673,1026,1009.19,3.98,2.03,1.9,1.36,0.99,0.9,19.17
674,1041.17,1008.68,3.91,2.03,1.86,1.35,0.97,0.9,19.16
675,1035.98,1008.92,3.91,2.03,1.86,1.35,0.97,0.9,19.17
676,1035.53,1008.65,3.94,2.03,1.86,1.35,0.97,0.89,19.2
677,1045.69,1008.79,3.95,2.05,1.86,1.35,0.97,0.89,19.22
678,1049.41,1008.89,3.97,2.07,1.84,1.36,0.97,0.9,19.26
679,1057,1008.59,4.03,2.09,1.86,1.36,0.97,0.9,19.28
680,1057.03,1008.93,4.02,2.1,1.86,1.36,0.95,0.89,19.3
681,1059.07,1008.84,4.1,2.09,1.87,1.36,0.98,0.91,19.31
682,1052.66,1009.2,4.01,2.07,1.84,1.36,0.97,0.89,19.32
683,1048.09,1008.92,3.97,2.07,1.84,1.37,0.96,0.89,19.33
684,1041.52,1008.62,4.03,2.1,1.87,1.38,0.98,0.91,19.35
685,1037.91,1008.52,3.99,2.08,1.84,1.37,0.97,0.91,19.35
686,1022.59,1007.75,3.95,2.07,1.84,1.37,0.97,0.9,19.34
687,1000.84,1007.26,3.94,2.04,1.84,1.36,0.95,0.91,19.34
688,1002.08,1007.37,4.06,2.05,1.89,1.36,0.97,0.9,19.34
689,988.9,1008.33,4.05,2.04,1.87,1.33,0.95,0.89,19.34
690,994.81,1008.35,4.07,2.04,1.86,1.35,0.96,0.89,19.34
691,994.97,1007,4.06,2.05,1.89,1.36,0.98,0.9,19.36
692,991.57,1007.95,3.98,2.04,1.87,1.36,0.97,0.88,19.37
693,996.18,1007.46,3.99,2.05,1.9,1.37,0.98,0.9,19.39
694,999.06,1007.64,3.94,2.04,1.9,1.35,0.98,0.9,19.44
695,999.24,1007.39,3.98,2.08,1.91,1.37,0.99,0.91,19.48
696,1007.64,1006.96,4.02,2.08,1.93,1.38,0.99,0.91,19.51
697,1005.78,1006.62,4.05,2.07,1.93,1.38,1,0.91,19.53
698,999.76,1007.26,4.02,2.07,1.93,1.37,1.01,0.91,19.55
699,994.23,1006.67,3.98,2.05,1.93,1.37,1.01,0.91,19.57
700,989.61,1006.29,3.97,2.04,1.9,1.36,1.01,0.9,19.6
701,991.68,1006.15,3.95,2.01,1.9,1.36,1.02,0.91,19.59
702,993.35,1006.54,3.94,2.04,1.9,1.38,1,0.92,19.58
703,998.97,1006.42,3.97,2.09,1.9,1.4,1,0.92,19.57
704,1010.43,1006,3.93,2.08,1.9,1.37,1,0.91,19.57
705,1030.23,1006.1,3.98,2.05,1.9,1.38,1,0.92,19.55
706,1053.76,1006.7,4.03,2.07,1.9,1.37,0.99,0.92,19.54
707,1075.12,1005.59,3.95,2.03,1.87,1.35,0.98,0.91,19.54
708,1086.26,1005.67,3.95,2.04,1.89,1.37,0.99,0.91,19.54
709,1091.64,1005.82,4.01,2.05,1.93,1.37,0.99,0.91,19.49
710,1095.64,1005.29,4.03,2.07,1.91,1.37,0.98,0.91,19.44
711,1091.32,1005.38,4.02,2.07,1.87,1.37,0.96,0.9,19.42
712,1081.4,1005.88,4.1,2.1,1.91,1.38,0.98,0.91,19.44
713,1068.71,1005.02,4.07,2.12,1.9,1.38,0.99,0.91,19.43
714,1066.11,1005.49,3.98,2.1,1.87,1.4,0.99,0.9,19.44
715,1070.29,1005.29,4.03,2.13,1.9,1.42,0.99,0.91,19.41
716,1063.15,1005.55,4.11,2.16,1.93,1.42,1,0.92,19.43
717,1063.93,1005.2,4.17,2.18,1.94,1.42,1.01,0.94,19.44
718,1060.83,1005.88,4.22,2.2,1.97,1.44,1.03,0.96,19.45
719,1046.33,1005.6,4.26,2.17,2,1.45,1.05,0.97,19.44
720,1033.3,1004.9,4.06,2.09,1.93,1.4,1.02,0.93,19.42
721,1012.23,1005.36,4.07,2.07,1.93,1.4,1.01,0.93,19.44
722,998.98,1004.64,4.11,2.08,1.94,1.42,1.03,0.94,19.43
723,998.85,1005.22,4.19,2.08,1.93,1.41,1,0.94,19.46
724,992.18,1005.92,4.13,2.05,1.9,1.37,0.99,0.92,19.49
