Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
 275., 284.1, 296.9, 291.2, 283.3, 277.4, 270.7, 256.5, 232.8, 202.0, 176.7,  73.5,  46.5, 350.9, 362.9, 332.6, 206.1, 327.4, 305.3, 289.1,  45.24,  12.32,  15.33,  12.57,      1.2,     -0.7, -35.0,  1.694E-01,  5.578E-05,  2.652E-02,  2.058E-01,  8.792E-05,  4.195E-03,  1.742E-01,  4.319E-05,  2.332E-02,  2.057E-01,  7.001E-05,  4.096E-03,  16.3, 0.000116
 280., 278.6, 292.4, 286.1, 279.4, 274.3, 267.6, 253.2, 228.6, 199.2, 173.8,  72.1,  46.3, 345.4, 353.1, 311.8, 204.2, 321.4, 298.6, 285.5,  42.49,  11.70,  12.62,  11.86,      1.3,     -0.7, -35.6,  1.697E-01,  6.020E-05,  2.640E-02,  2.057E-01,  6.894E-05,  4.323E-03,  1.748E-01,  4.918E-05,  2.312E-02,  2.058E-01,  7.677E-05,  4.087E-03,  15.6, 0.000110
 285., 275.5, 287.8, 283.5, 278.4, 272.9, 266.1, 252.1, 224.8, 198.1, 172.0,  73.6,  46.0, 339.0, 351.8, 330.2, 200.4, 320.3, 305.8, 284.0,  37.40,  11.56,  13.30,  12.05,      1.3,     -0.6, -36.1,  1.704E-01,  6.460E-05,  2.617E-02,  2.057E-01,  7.505E-05,  4.041E-03,  1.757E-01,  5.515E-05,  2.229E-02,  2.057E-01,  7.420E-05,  4.047E-03,  14.3, 0.000101
 290., 273.2, 283.1, 277.9, 274.6, 269.8, 264.5, 250.6, 224.7, 198.5, 172.3,  71.6,  45.3, 333.9, 334.6, 288.6, 196.0, 314.5, 296.8, 284.8,  39.69,  10.30,  10.91,  12.08,      1.4,     -0.6, -36.6,  1.710E-01,  4.349E-05,  2.545E-02,  2.058E-01,  7.580E-05,  4.051E-03,  1.766E-01,  4.128E-05,  2.193E-02,  2.058E-01,  8.461E-05,  4.188E-03,  15.5, 0.000110
 295., 268.6, 278.9, 274.1, 270.1, 266.6, 260.8, 248.1, 221.1, 195.3, 169.8,  70.5,  44.6, 329.2, 331.3, 268.8, 190.8, 313.4, 298.8, 295.5,  33.64,  10.63,  11.19,  11.11,      1.3,     -0.7, -37.2,  1.718E-01,  4.507E-05,  2.498E-02,  2.057E-01,  8.011E-05,  4.130E-03,  1.772E-01,  3.940E-05,  2.173E-02,  2.057E-01,  8.374E-05,  3.858E-03,  15.2, 0.000108
 300., 265.4, 276.1, 271.5, 267.6, 263.4, 257.3, 244.2, 219.1, 191.6, 166.1,  68.3,  42.6, 321.2, 324.5, 293.3, 185.7, 306.5, 290.3, 284.0,  38.32,  10.20,  10.98,  10.63,      1.2,     -0.7, -37.7,  1.723E-01,  4.792E-05,  2.488E-02,  2.058E-01,  8.312E-05,  4.090E-03,  1.781E-01,  3.343E-05,  2.103E-02,  2.061E-01,  6.642E-05,  3.527E-03,  15.1, 0.000107
 305., 263.7, 273.5, 267.5, 263.0, 258.4, 252.4, 239.5, 215.5, 187.7, 164.0,  67.0,  41.1, 312.8, 310.9, 277.0, 180.3, 300.0, 279.2, 269.3,  34.86,   9.84,   9.98,  10.56,      1.2,     -0.7, -38.3,  1.731E-01,  5.356E-05,  2.456E-02,  2.057E-01,  7.148E-05,  3.707E-03,  1.791E-01,  4.097E-05,  2.024E-02,  2.063E-01,  8.258E-05,  4.142E-03,  15.4, 0.000109
 310., 261.9, 268.6, 264.3, 261.3, 258.0, 251.8, 237.6, 213.6, 187.2, 164.7,  65.5,  40.7, 308.3, 300.5, 252.5, 174.0, 298.0, 285.6, 278.3,  30.18,   8.72,   9.70,  11.21,      1.2,     -0.7, -38.8,  1.733E-01,  5.483E-05,  2.419E-02,  2.060E-01,  7.750E-05,  3.676E-03,  1.800E-01,  2.775E-05,  2.005E-02,  2.060E-01,  6.174E-05,  4.034E-03,  14.7, 0.000104
 315., 254.2, 260.8, 257.9, 254.8, 249.6, 243.8, 230.7, 208.5, 182.3, 161.1,  63.0,  39.2, 294.3, 280.7, 226.1, 167.5, 288.2, 278.5, 271.1,  24.68,   6.03,   6.24,   8.30,      1.0,     -0.7, -39.3,  1.741E-01,  5.074E-05,  2.356E-02,  2.063E-01,  6.622E-05,  4.244E-03,  1.815E-01,  4.852E-05,  1.814E-02,  2.060E-01,  7.805E-05,  3.941E-03,  10.2, 0.000073
 320., 225.2, 233.1, 232.1, 231.7, 226.0, 220.3, 206.3, 187.0, 166.4, 148.9,  56.5,  35.1, 257.3, 237.2, 188.4, 152.3, 257.5, 242.3, 232.8,  18.93,   4.09,   4.28,   5.07,      0.8,     -0.6, -39.6,  1.747E-01,  4.728E-05,  2.336E-02,  2.061E-01,  7.098E-05,  3.965E-03,  1.841E-01,  3.878E-05,  1.548E-02,  2.061E-01,  7.015E-05,  3.305E-03,   5.7, 0.000041
 325., 189.8, 190.2, 193.8, 194.9, 187.1, 182.9, 170.7, 157.2, 143.7, 130.4,  49.5,  30.7, 230.0, 190.9, 149.0, 135.7, 228.5, 200.9, 191.4,   4.33,   3.30,   3.60,   4.30,      0.6,     -0.5, -39.8,  1.756E-01,  5.234E-05,  2.293E-02,  2.059E-01,  7.402E-05,  3.725E-03,  1.875E-01,  3.217E-05,  1.319E-02,  2.066E-01,  8.846E-05,  2.680E-03,   6.4, 0.000046
 330., 163.1, 158.0, 164.5, 166.1, 157.5, 152.1, 141.4, 132.3, 123.1, 112.8,  44.6,  27.4, 202.2, 158.1, 124.6, 122.8, 206.0, 171.5, 159.3,   2.34,   2.80,   3.35,   3.78,      0.5,     -0.5, -40.0,  1.764E-01,  4.506E-05,  2.211E-02,  2.060E-01,  8.286E-05,  3.081E-03,  1.912E-01,  3.312E-05,  1.060E-02,  2.074E-01,  9.794E-05,  2.182E-03,   4.3, 0.000030
 335., 146.9, 138.0, 146.0, 146.5, 139.5, 133.5, 124.0, 117.3, 109.3, 100.8,  41.4,  24.6, 181.7, 135.7, 108.7, 115.0, 188.3, 148.0, 138.5,   2.54,   2.51,   2.99,   3.39,      0.5,     -0.4, -40.1,  1.771E-01,  3.656E-05,  2.184E-02,  2.065E-01,  8.614E-05,  2.441E-03,  1.948E-01,  2.682E-05,  8.303E-03,  2.080E-01,  7.476E-05,  1.886E-03,   2.8, 0.000020
 340., 134.8, 124.7, 133.2, 131.9, 125.8, 120.4, 112.3, 106.6,  99.8,  92.0,  38.0,  22.8, 169.7, 122.5,  95.6, 105.3, 174.1, 132.3, 122.4,   2.34,   2.48,   2.71,   3.13,      0.4,     -0.4, -40.2,  1.780E-01,  3.814E-05,  2.161E-02,  2.073E-01,  9.769E-05,  2.053E-03,  1.979E-01,  2.648E-05,  7.176E-03,  2.085E-01,  6.333E-05,  1.761E-03,   2.9, 0.000021
 345., 125.2, 114.5, 123.3, 121.1, 116.0, 110.7, 103.1,  98.2,  92.2,  84.6,  35.1,  21.4, 159.3, 111.2,  86.5,  99.4, 163.3, 121.0, 111.0,   1.98,   2.30,   2.82,   3.04,      0.4,     -0.4, -40.3,  1.789E-01,  3.815E-05,  2.066E-02,  2.079E-01,  7.323E-05,  1.789E-03,  2.005E-01,  3.565E-05,  5.828E-03,  2.086E-01,  9.320E-05,  1.696E-03,   2.9, 0.000020
 350., 118.4, 107.9, 116.4, 113.0, 108.9, 104.5,  96.6,  92.3,  86.6,  78.8,  32.5,  20.2, 150.0, 102.8,  79.3,  93.9, 155.0, 112.0, 100.9,   1.68,   2.01,   2.64,   2.81,      0.4,     -0.4, -40.4,  1.797E-01,  3.437E-05,  2.031E-02,  2.084E-01,  6.874E-05,  1.743E-03,  2.026E-01,  1.924E-05,  4.589E-03,  2.088E-01,  7.666E-05,  1.732E-03,   1.5, 0.000011
